M,largest_noninferior_omitted_layers,margin,model
8,0,0.02,A_uniform_hard_box
8,1,0.02,B_exact_finite_discrete_gaussian
16,1,0.02,A_uniform_hard_box
16,1,0.02,B_exact_finite_discrete_gaussian
32,1,0.02,A_uniform_hard_box
32,1,0.02,B_exact_finite_discrete_gaussian
8,1,0.05,A_uniform_hard_box
8,1,0.05,B_exact_finite_discrete_gaussian
16,1,0.05,A_uniform_hard_box
16,1,0.05,B_exact_finite_discrete_gaussian
32,1,0.05,A_uniform_hard_box
32,2,0.05,B_exact_finite_discrete_gaussian
8,1,0.1,A_uniform_hard_box
8,1,0.1,B_exact_finite_discrete_gaussian
16,1,0.1,A_uniform_hard_box
16,2,0.1,B_exact_finite_discrete_gaussian
32,1,0.1,A_uniform_hard_box
32,2,0.1,B_exact_finite_discrete_gaussian
8,2,0.15,A_uniform_hard_box
8,2,0.15,B_exact_finite_discrete_gaussian
16,1,0.15,A_uniform_hard_box
16,3,0.15,B_exact_finite_discrete_gaussian
32,2,0.15,A_uniform_hard_box
32,4,0.15,B_exact_finite_discrete_gaussian
