actual_arithmetic_source_ccx_class,actual_arithmetic_source_ccx_leading_constant,controlled_additions_per_controlled_multiplier,d,mode,n,per_run_invocation_ratio_regev_over_shor,preserves_regev_target_gate_class,q,qft_ratio_regev_over_shor,regev_controlled_modular_additions_per_run,regev_controlled_multiplier_invocations_per_run,regev_qft_canonical_cx,regev_runs_reference,regev_target_gate_class,regev_total_qubits,run_adjusted_invocation_ratio_vs_one_shor_run,scope,shor_controlled_modular_additions_per_run,shor_controlled_multiplier_invocations_per_run,shor_qft_canonical_cx,shor_total_qubits,verdict
Theta(n^3 log2(n)),80.0,8,2,cover_2n,4,1.0,False,4,0.5294117647058824,64,8,36,6,soft-O(n^(3/2)),17,6.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,64,8,68,17,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,10,3,cover_2n,5,1.2,False,4,0.5142857142857142,120,12,54,7,soft-O(n^(3/2)),23,8.4,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,100,10,105,21,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,12,3,cover_2n,6,1.0,False,4,0.36,144,12,54,7,soft-O(n^(3/2)),25,7.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,144,12,150,25,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,14,3,cover_2n,7,1.0714285714285714,False,5,0.3842364532019704,210,15,78,7,soft-O(n^(3/2)),30,7.5,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,196,14,203,29,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,16,3,cover_2n,8,1.125,False,6,0.4431818181818182,288,18,117,7,soft-O(n^(3/2)),35,7.875,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,256,16,264,33,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,18,3,cover_2n,9,1.0,False,6,0.35135135135135137,324,18,117,7,soft-O(n^(3/2)),37,7.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,324,18,333,37,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,20,4,cover_2n,10,1.0,False,5,0.25365853658536586,400,20,104,8,soft-O(n^(3/2)),41,8.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,400,20,410,41,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,22,4,cover_2n,11,1.0909090909090908,False,6,0.3151515151515151,528,24,156,8,soft-O(n^(3/2)),47,8.727272727272727,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,484,22,495,45,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,24,4,cover_2n,12,1.0,False,6,0.2653061224489796,576,24,156,8,soft-O(n^(3/2)),49,8.0,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,576,24,588,49,FAILS_REGEV_COMPLEXITY_FIDELITY
Theta(n^3 log2(n)),80.0,26,4,cover_2n,13,1.0769230769230769,False,7,0.2960812772133527,728,28,204,8,soft-O(n^(3/2)),55,8.615384615384615,static certificate for the supplied serial binary repeated-squaring architecture; not a lower bound for Regev-style factoring,676,26,689,53,FAILS_REGEV_COMPLEXITY_FIDELITY
