cause,d,executed_code_modular_addition_factor,missing_factor_code_over_paper,n,paper_derivation_modular_addition_factor,paper_reported_implementation_class,q,source_verified_implementation_class
"each constant modular multiplier loops over n result bits, not q exponent-register bits",2,64,1.0,4,64,O(n^(5/2) log n),4,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",3,120,1.25,5,96,O(n^(5/2) log n),4,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",3,144,1.5,6,96,O(n^(5/2) log n),4,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",3,210,1.4,7,150,O(n^(5/2) log n),5,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",3,288,1.3333333333333333,8,216,O(n^(5/2) log n),6,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",3,324,1.5,9,216,O(n^(5/2) log n),6,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,400,2.0,10,200,O(n^(5/2) log n),5,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,528,1.8333333333333333,11,288,O(n^(5/2) log n),6,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,576,2.0,12,288,O(n^(5/2) log n),6,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,728,1.8571428571428572,13,392,O(n^(5/2) log n),7,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,784,2.0,14,392,O(n^(5/2) log n),7,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,960,1.875,15,512,O(n^(5/2) log n),8,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",4,1024,2.0,16,512,O(n^(5/2) log n),8,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1190,2.4285714285714284,17,490,O(n^(5/2) log n),7,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1440,2.25,18,640,O(n^(5/2) log n),8,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1520,2.375,19,640,O(n^(5/2) log n),8,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1600,2.5,20,640,O(n^(5/2) log n),8,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1890,2.3333333333333335,21,810,O(n^(5/2) log n),9,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,1980,2.4444444444444446,22,810,O(n^(5/2) log n),9,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,2300,2.3,23,1000,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,2400,2.4,24,1000,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",5,2500,2.5,25,1000,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,2808,2.888888888888889,26,972,O(n^(5/2) log n),9,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,2916,3.0,27,972,O(n^(5/2) log n),9,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,3360,2.8,28,1200,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,3480,2.9,29,1200,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,3600,3.0,30,1200,O(n^(5/2) log n),10,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,4092,2.8181818181818183,31,1452,O(n^(5/2) log n),11,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,4224,2.909090909090909,32,1452,O(n^(5/2) log n),11,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,4356,3.0,33,1452,O(n^(5/2) log n),11,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,4896,2.8333333333333335,34,1728,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,5040,2.9166666666666665,35,1728,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",6,5184,3.0,36,1728,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,5698,3.3636363636363638,37,1694,O(n^(5/2) log n),11,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,5852,3.4545454545454546,38,1694,O(n^(5/2) log n),11,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,6552,3.25,39,2016,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,6720,3.3333333333333335,40,2016,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,6888,3.4166666666666665,41,2016,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,7056,3.5,42,2016,O(n^(5/2) log n),12,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,7826,3.3076923076923075,43,2366,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,8008,3.3846153846153846,44,2366,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,8190,3.4615384615384617,45,2366,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,9016,3.2857142857142856,46,2744,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,9212,3.357142857142857,47,2744,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,9408,3.4285714285714284,48,2744,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",7,9604,3.5,49,2744,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,10400,3.8461538461538463,50,2704,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,10608,3.923076923076923,51,2704,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,10816,4.0,52,2704,O(n^(5/2) log n),13,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,11872,3.7857142857142856,53,3136,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,12096,3.857142857142857,54,3136,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,12320,3.9285714285714284,55,3136,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,12544,4.0,56,3136,O(n^(5/2) log n),14,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,13680,3.8,57,3600,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,13920,3.8666666666666667,58,3600,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,14160,3.933333333333333,59,3600,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,14400,4.0,60,3600,O(n^(5/2) log n),15,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,15616,3.8125,61,4096,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,15872,3.875,62,4096,O(n^(5/2) log n),16,Theta(n^3 log n)
"each constant modular multiplier loops over n result bits, not q exponent-register bits",8,16128,3.9375,63,4096,O(n^(5/2) log n),16,Theta(n^3 log n)
