M,N,approximate_entropy_bits,approximate_peak,approximate_top2_gap,compiled_cx,compiled_cx_saving,compiled_depth,compiled_depth_saving,cp_saving,cutoff,cutoff_cp,d,distribution_m_shot_bound,distribution_tv,distribution_tv_certified,entropy_broadening_bits,exact_cp,exact_entropy_bits,exact_peak,exact_top2_gap,fraction_change_on_low_probability_outcomes,hellinger_affinity,hellinger_certified,hellinger_product_bound,m,model,omitted_layers,one_register_operator_error,original_certified,original_m_shot_bound,original_per_shot_bound,peak_torus_displacement,phase_triangle_bound,product_operator_error,product_triangle_bound,q,state_certified,state_m_shot_bound,state_norm_error,state_trace_bound,top2_gap_change
8,55,5.22625917911787,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.2991246164367364,False,0.26472487835602365,6,4.961534300761846,"[0, 0]",0.0,0.5396889033053913,0.9039924617932398,False,0.8698318370074355,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3344624546778954,0.9771235693945743,0.0
8,55,5.166667966567748,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.6925051275571549,0.0989293039367364,False,0.20513366580590198,6,4.961534300761846,"[0, 0]",0.0,0.5163553331887849,0.9852453832171002,False,0.43344800305338094,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.587085951211651,0.4556382296502428,0.0
8,55,4.961534300761846,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,4.961534300761846,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,3.129243850708008e-07,0.0,4.470348358154297e-08,0.0
8,55,5.836670422332716,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.24891028444858415,False,0.236150260383317,6,5.600520161949399,"[0, 0]",0.0,0.5576274120213421,0.9382302805069549,False,0.768391916455971,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3129023562349098,0.9650010633021632,0.0
8,55,5.770948431325655,"[0, 0]",0.0,14,4,18,2,2,1,4,2,0.5778166562852436,0.08254523661217765,False,0.17042826937625577,6,5.600520161949399,"[0, 0]",0.0,0.5063196169526463,0.9899320786097578,False,0.36343947156063816,7,B_exact_finite_discrete_gaussian,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.5860337422060621,0.4551916689564455,0.0
8,55,5.600520161949399,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.600520161949399,"[0, 0]",0.0,0.0,1.0,True,0.0,7,B_exact_finite_discrete_gaussian,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,2.950279395762582e-07,0.0,4.2146848510894035e-08,0.0
8,65,5.059703343160095,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.20312499999999997,False,-0.017558541740715583,6,5.07726188490081,"[0, 0]",0.0,0.5384615384615384,0.9457105235893634,False,0.736385743730921,7,A_uniform_hard_box,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.210947733214293,0.9600209025941433,0.0
8,65,5.07726188490081,"[0, 0]",0.0,14,4,18,2,2,1,4,2,4.128641872824801e-16,5.898059818321144e-17,True,0.0,6,5.07726188490081,"[0, 0]",0.0,0.5294117647058824,1.0,True,0.0,7,A_uniform_hard_box,1,0.7653668647301793,False,1.0,1.0,0.0,0.7853981633974483,1.4142135623730947,1.5707963267948966,3,False,1.0,0.6087349684044835,0.4870119915966204,0.0
8,65,5.07726188490081,"[0, 0]",0.0,18,0,20,0,0,2,6,2,0.0,0.0,True,0.0,6,5.07726188490081,"[0, 0]",0.0,0.0,1.0,True,0.0,7,A_uniform_hard_box,0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,3,True,3.129243850708008e-07,0.0,4.470348358154297e-08,0.0
8,65,5.785890007338802,"[0, 0]",0.0,6,12,6,14,6,0,0,2,1.0,0.1515249284817296,False,0.13716914967202865,6,5.648720857666773,"[0, 0]",0.0,0.5697001933196641,0.9669071733409091,False,0.6129512027386833,7,B_exact_finite_discrete_gaussian,2,1.98288972274762,False,1.0,1.0,0.0,3.9269908169872414,1.9999999999999993,7.853981633974483,3,False,1.0,1.3112095157257333,0.9705576897905629,0.0
