M,N,controlled_phase_gates,cutoff,d,elapsed_seconds,exact_controlled_phase_gates,exact_fiber_evaluation,m_shot_tv_union_bound,model,qft_operator_bound,sample_count,seed,split,tv_to_exact_same_model
8,77,0,0,3,0.005780916020739824,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.49918241344781383
8,77,6,1,3,0.00555524998344481,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.15887078942488894
8,77,9,2,3,0.0061157080344855785,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,77,0,0,3,0.0051865410059690475,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.5639479430821936
8,77,6,1,3,0.005278374999761581,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.13512339372946194
8,77,9,2,3,0.005320625030435622,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,91,0,0,3,0.005258249992039055,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5376638234940211
8,91,6,1,3,0.00540716596879065,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.12450898363230337
8,91,9,2,3,0.0054550840286538005,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,91,0,0,3,0.005264625011477619,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.42650297074761095
8,91,6,1,3,0.005378208006732166,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.09218960468836322
8,91,9,2,3,0.00543754204409197,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,143,0,0,3,0.005845417035743594,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.5677591529578803
8,143,6,1,3,0.005972750019282103,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,development,0.13272240926158152
8,143,9,2,3,0.006184333004057407,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,development,0.0
8,143,0,0,3,0.00685937498928979,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.6248169015221761
8,143,6,1,3,0.006217916030436754,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,development,0.13310543553368365
8,143,9,2,3,0.005961417045909911,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,development,0.0
8,2279,0,0,3,0.014667999988887459,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2279,6,1,3,0.013505791022907943,9,True,0.621320343559644,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.051776695296637004
8,2279,9,2,3,0.01344179199077189,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2279,0,0,3,0.013299457961693406,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2279,6,1,3,0.013460459013003856,9,True,0.7418576732400729,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061821472770006075
8,2279,9,2,3,0.01350754196755588,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2419,0,0,3,0.013266291003674269,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2419,6,1,3,0.013372124987654388,9,True,0.621320343559644,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.051776695296637004
8,2419,9,2,3,0.01341912499628961,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2419,0,0,3,0.013242125045508146,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2419,6,1,3,0.01342941599432379,9,True,0.7418576732400729,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061821472770006075
8,2419,9,2,3,0.013449667021632195,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2491,0,0,3,0.013220541994087398,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2491,6,1,3,0.013376833987422287,9,True,0.621320343559644,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.051776695296637004
8,2491,9,2,3,0.01342458400176838,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2491,0,0,3,0.013226708979345858,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2491,6,1,3,0.013855291996151209,9,True,0.7418576732400729,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061821472770006075
8,2491,9,2,3,0.013374000031035393,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2501,0,0,3,0.013345458020921797,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2501,6,1,3,0.013530208030715585,9,True,0.621320343559644,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.051776695296637004
8,2501,9,2,3,0.01332108402857557,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2501,0,0,3,0.01315616600913927,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2501,6,1,3,0.013252042001113296,9,True,0.7418576732400729,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061821472770006075
8,2501,9,2,3,0.013288333953823894,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2537,0,0,3,0.013122665986884385,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23414502147247773
8,2537,6,1,3,0.013359042000956833,9,True,0.621320343559644,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.051776695296637004
8,2537,9,2,3,0.013319750025402755,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2537,0,0,3,0.013099249976221472,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.33973974126014705
8,2537,6,1,3,0.013284208020195365,9,True,0.7418576732400729,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061821472770006075
8,2537,9,2,3,0.013484125025570393,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
8,2623,0,0,3,0.012176208023447543,9,True,1.0,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.23953154136718507
8,2623,6,1,3,0.012925792019814253,9,True,0.6514500444799418,A_uniform_hard_box,1.0,12,2026071107,heldout_exact,0.05428750370666181
8,2623,9,2,3,0.013889333000406623,9,True,0.0,A_uniform_hard_box,0.0,12,2026071107,heldout_exact,0.0
8,2623,0,0,3,0.013053415983449668,9,True,1.0,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.339746760545107
8,2623,6,1,3,0.013062625017482787,9,True,0.7419793592944302,B_exact_finite_discrete_gaussian,1.0,12,2026071107,heldout_exact,0.061831613274535846
8,2623,9,2,3,0.013267582980915904,9,True,0.0,B_exact_finite_discrete_gaussian,0.0,12,2026071107,heldout_exact,0.0
