M,N_cluster_count,bootstrap_replicates,bootstrap_seed,cluster_bootstrap95_high,cluster_bootstrap95_low,cluster_mean_probability,cutoff,model
8,3,5000,2026080211,0.8125,0.5,0.6666666666666666,0,A_uniform_hard_box
8,3,5000,2026080211,1.0,0.75,0.8958333333333334,1,A_uniform_hard_box
8,3,5000,2026080211,1.0,0.6875,0.875,2,A_uniform_hard_box
8,3,5000,2026080211,0.5,0.375,0.4166666666666667,0,B_exact_finite_discrete_gaussian
8,3,5000,2026080211,1.0,0.875,0.9166666666666666,1,B_exact_finite_discrete_gaussian
8,3,5000,2026080211,1.0,0.8125,0.9375,2,B_exact_finite_discrete_gaussian
16,3,5000,2026080211,0.75,0.3125,0.4791666666666667,0,A_uniform_hard_box
16,3,5000,2026080211,1.0,0.5625,0.7083333333333334,1,A_uniform_hard_box
16,3,5000,2026080211,1.0,0.9375,0.9791666666666666,2,A_uniform_hard_box
16,3,5000,2026080211,1.0,1.0,1.0,3,A_uniform_hard_box
16,3,5000,2026080211,0.375,0.25,0.3333333333333333,0,B_exact_finite_discrete_gaussian
16,3,5000,2026080211,0.8125,0.5625,0.6875,1,B_exact_finite_discrete_gaussian
16,3,5000,2026080211,1.0,0.9375,0.9791666666666666,2,B_exact_finite_discrete_gaussian
16,3,5000,2026080211,1.0,0.875,0.9375,3,B_exact_finite_discrete_gaussian
32,3,5000,2026080211,0.8125,0.0625,0.5208333333333334,0,A_uniform_hard_box
32,3,5000,2026080211,0.9375,0.4375,0.7083333333333334,1,A_uniform_hard_box
32,3,5000,2026080211,1.0,0.875,0.9375,2,A_uniform_hard_box
32,3,5000,2026080211,1.0,0.9375,0.9791666666666666,3,A_uniform_hard_box
32,3,5000,2026080211,1.0,0.9375,0.9583333333333334,4,A_uniform_hard_box
32,3,5000,2026080211,0.6875,0.1875,0.4166666666666667,0,B_exact_finite_discrete_gaussian
32,3,5000,2026080211,0.75,0.375,0.5416666666666666,1,B_exact_finite_discrete_gaussian
32,3,5000,2026080211,1.0,0.8125,0.8958333333333334,2,B_exact_finite_discrete_gaussian
32,3,5000,2026080211,1.0,0.75,0.8958333333333334,3,B_exact_finite_discrete_gaussian
32,3,5000,2026080211,1.0,0.875,0.9375,4,B_exact_finite_discrete_gaussian
