N,ablation_label,factor_success_curve,factor_success_rate,factor_success_standard_error,factor_successes,marginal_prefix_factor_success_rate,mean_resource_batch_generation_runtime_seconds_shared_cell,mean_resource_coefficient_bound,mean_resource_deleted_rows,mean_resource_duplicate_relation_nodes,mean_resource_enumeration_rows,mean_resource_extra_samples_used,mean_resource_fourier_precision_bits,mean_resource_input_samples,mean_resource_l0_generators_discovered,mean_resource_lattice_dimension,mean_resource_max_support,mean_resource_modular_relation_checks,mean_resource_node_budget,mean_resource_node_budget_exhausted,mean_resource_nodes_generated,mean_resource_nodes_visited,mean_resource_peak_memory_estimate_bytes,mean_resource_posthoc_gap_candidates,mean_resource_posthoc_gap_runtime_seconds,mean_resource_posthoc_root_classification_runtime_seconds,mean_resource_projected_rows_checked,mean_resource_quantum_circuit_equivalent_executions,mean_resource_reductions,mean_resource_root_classifications,mean_resource_runtime_seconds,mean_resource_rv_filter_iterations,mean_resource_rv_filter_peak_memory_estimate_bytes,mean_resource_rv_filter_reductions,mean_resource_rv_filter_runtime_seconds,mean_resource_suppressed_l0_nodes,mean_resource_total_classical_time_to_factor_or_censor_seconds,mean_resource_verified_relations,mean_resource_zero_projection_nodes,mean_sample_to_first_factor_among_successes,method,model,replicates,sample_count,target_p_sample_threshold,target_p_sample_threshold_censor_value,target_p_sample_threshold_censored,target_recovery_probability
6557,finite_RV_structured_comparator_not_theorem_backed,sequential cumulative nested-prefix,0.96875,0.03125,31,0.96875,0.0027007032476831228,2.0,,0.6875,6.0,0.0,6.0,7.0,0.0,10.0,3.0,49.3125,50.0,1.0,772.0,50.0,239845.71875,,,,,11.0,1.0,1.5625,0.014185020814693416,3.3125,6987.46875,3.3125,0.0028474244663811987,0.0,0.017032445281074615,1.5625,0.0,11.0,RV_structured_finite_comparator,A_exact_uniform_hard_box,32,11,11,11,False,0.8
6557,remove_B_and_C_keep_nested_A,sequential cumulative nested-prefix,0.9375,0.04347552147751577,30,0.9375,0.0027007032476831228,2.0,,0.84375,6.0,0.0,6.0,7.0,0.0,10.0,3.0,49.15625,50.0,1.0,772.0,50.0,239795.0,,,,,7.0,1.0,1.46875,0.014250447849917691,,,,,0.0,0.015211884068776271,1.46875,0.0,7.0625,adaptive_sampling_without_deflation,A_exact_uniform_hard_box,32,7,7,7,False,0.8
6557,remove_B_and_C_keep_nested_A,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,0.125,,0.0,0.375,0.0,0.375,0.5,0.0,0.6875,0.1875,3.125,3.125,0.0625,48.25,3.125,15150.1875,,,,,0.5,0.0625,0.0625,0.0009614362188585801,,,,,0.0,0.015211884068776271,0.0625,0.0,7.0625,adaptive_sampling_without_deflation,A_exact_uniform_hard_box,32,8,7,7,False,0.8
6557,remove_B_and_C_keep_nested_A,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.015211884068776271,0.0,0.0,7.0625,adaptive_sampling_without_deflation,A_exact_uniform_hard_box,32,9,7,7,False,0.8
6557,remove_B_and_C_keep_nested_A,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.015211884068776271,0.0,0.0,7.0625,adaptive_sampling_without_deflation,A_exact_uniform_hard_box,32,10,7,7,False,0.8
6557,remove_B_and_C_keep_nested_A,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.015211884068776271,0.0,0.0,7.0625,adaptive_sampling_without_deflation,A_exact_uniform_hard_box,32,11,7,7,False,0.8
6557,A_short_combinations_no_deflation,sequential cumulative nested-prefix,0.9375,0.04347552147751577,30,0.9375,0.0027007032476831228,2.0,,0.84375,6.0,0.0,6.0,7.0,0.0,10.0,3.0,49.15625,50.0,1.0,772.0,50.0,239795.0,,,,,7.0,1.0,1.46875,0.014250447849917691,,,,,0.0,0.015211884068776271,1.46875,0.0,7.0625,common_exact_norm_LLL_bounded_enumeration,A_exact_uniform_hard_box,32,7,7,7,False,0.8
6557,A_short_combinations_no_deflation,sequential cumulative nested-prefix,1.0,0.0,32,0.96875,0.0027007032476831228,2.0,,1.25,6.0,0.0,6.0,8.0,0.0,11.0,3.0,48.75,50.0,1.0,772.0,50.0,242267.375,,,,,8.0,1.0,1.59375,0.015170733006016235,,,,,0.0,0.015211884068776271,1.59375,0.0,7.0625,common_exact_norm_LLL_bounded_enumeration,A_exact_uniform_hard_box,32,8,7,7,False,0.8
6557,A_short_combinations_no_deflation,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,2.0,,2.90625,6.0,0.0,6.0,9.0,0.0,12.0,3.0,47.09375,50.0,1.0,772.0,50.0,244708.125,,,,,9.0,1.0,1.71875,0.016380773251512437,,,,,0.0,0.015211884068776271,1.71875,0.0,7.0625,common_exact_norm_LLL_bounded_enumeration,A_exact_uniform_hard_box,32,9,7,7,False,0.8
6557,A_short_combinations_no_deflation,sequential cumulative nested-prefix,1.0,0.0,32,1.0,0.0027007032476831228,2.0,,2.84375,6.0,0.0,6.0,10.0,0.0,13.0,3.0,47.15625,50.0,1.0,772.0,50.0,247714.78125,,,,,10.0,1.0,1.8125,0.017500149746410898,,,,,0.0,0.015211884068776271,1.8125,0.0,7.0625,common_exact_norm_LLL_bounded_enumeration,A_exact_uniform_hard_box,32,10,7,7,False,0.8
