N,bounded_product_diversity_B2,bounded_relation_count_B2,candidate_pool,claim_augmented_norm_bound,known_factors_posthoc,method,relation_norm_bound_T,selected_bases,selected_pairs,selected_roots,selection_seed,selector_setup_factor_leak,subgroup_overlap_score
1927,0.952,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",residue_deduplication_only,22,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2026170101,False,0.6666666666666666
1927,0.952,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",short_relation_rejection_only,22,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2026270101,False,0.6666666666666666
1927,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",subgroup_overlap_only,22,"[4, 9, 529]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 23, ""base"": 529}]","[2, 3, 23]",2026370101,False,0.5833333333333334
1927,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",complete_selector,22,"[4, 9, 529]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 23, ""base"": 529}]","[2, 3, 23]",2026470101,False,0.5833333333333334
1927,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",random_coprime_roots,22,"[1369, 289, 529]","[{""root"": 37, ""base"": 1369}, {""root"": 17, ""base"": 289}, {""root"": 23, ""base"": 529}]","[37, 17, 23]",2026570101,False,1.0
1927,0.952,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",63,"[41, 47]",regev_small_prime_roots,22,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2026670101,False,0.6666666666666666
2173,0.936,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2036170101,False,0.5
2173,0.936,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2036270101,False,0.5
2173,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",subgroup_overlap_only,28,"[4, 9, 529]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 23, ""base"": 529}]","[2, 3, 23]",2036370101,False,0.2833333333333333
2173,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",complete_selector,28,"[4, 9, 529]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 23, ""base"": 529}]","[2, 3, 23]",2036470101,False,0.2833333333333333
2173,0.584,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",random_coprime_roots,28,"[289, 1369, 169]","[{""root"": 17, ""base"": 289}, {""root"": 37, ""base"": 1369}, {""root"": 13, ""base"": 169}]","[17, 37, 13]",2036570101,False,1.0
2173,0.936,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 53]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2036670101,False,0.5
2279,0.872,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2046170101,False,1.0
2279,0.872,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",short_relation_rejection_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2046270101,False,1.0
2279,0.976,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",subgroup_overlap_only,28,"[4, 49, 529]","[{""root"": 2, ""base"": 4}, {""root"": 7, ""base"": 49}, {""root"": 23, ""base"": 529}]","[2, 7, 23]",2046370101,False,0.24786324786324787
2279,0.976,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",complete_selector,28,"[4, 49, 529]","[{""root"": 2, ""base"": 4}, {""root"": 7, ""base"": 49}, {""root"": 23, ""base"": 529}]","[2, 7, 23]",2046470101,False,0.24786324786324787
2279,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",random_coprime_roots,28,"[961, 4, 25]","[{""root"": 31, ""base"": 961}, {""root"": 2, ""base"": 4}, {""root"": 5, ""base"": 25}]","[31, 2, 5]",2046570101,False,1.0
2279,0.872,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[43, 53]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2046670101,False,1.0
2419,0.712,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2056170101,False,0.6666666666666666
2419,0.904,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",short_relation_rejection_only,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2056270101,False,0.8333333333333334
2419,0.904,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",subgroup_overlap_only,28,"[4, 9, 529]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 23, ""base"": 529}]","[2, 3, 23]",2056370101,False,0.5833333333333334
2419,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",complete_selector,28,"[4, 9, 961]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 31, ""base"": 961}]","[2, 3, 31]",2056470101,False,0.5833333333333334
2419,0.976,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",random_coprime_roots,28,"[25, 121, 961]","[{""root"": 5, ""base"": 25}, {""root"": 11, ""base"": 121}, {""root"": 31, ""base"": 961}]","[5, 11, 31]",2056570101,False,1.0
2419,0.712,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[41, 59]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2056670101,False,0.6666666666666666
2491,0.616,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",residue_deduplication_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2066170101,False,1.0
2491,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",short_relation_rejection_only,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2066270101,False,1.0
2491,0.616,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",subgroup_overlap_only,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2066370101,False,1.0
2491,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",complete_selector,28,"[4, 9, 49]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 7, ""base"": 49}]","[2, 3, 7]",2066470101,False,1.0
2491,1.0,0,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",random_coprime_roots,28,"[841, 961, 49]","[{""root"": 29, ""base"": 841}, {""root"": 31, ""base"": 961}, {""root"": 7, ""base"": 49}]","[29, 31, 7]",2066570101,False,1.0
2491,0.616,1,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]",80,"[47, 53]",regev_small_prime_roots,28,"[4, 9, 25]","[{""root"": 2, ""base"": 4}, {""root"": 3, ""base"": 9}, {""root"": 5, ""base"": 25}]","[2, 3, 5]",2066670101,False,1.0
