N,batches,bounded_spectral_dimension_ci_high,bounded_spectral_dimension_ci_low,bounded_spectral_dimension_mean,covariance_effective_rank_ci_high,covariance_effective_rank_ci_low,covariance_effective_rank_mean,estimated_signal_energy_ci_high,estimated_signal_energy_ci_low,estimated_signal_energy_mean,joint_entropy_bits_ci_high,joint_entropy_bits_ci_low,joint_entropy_bits_mean,mean_pairwise_mutual_information_bits_ci_high,mean_pairwise_mutual_information_bits_ci_low,mean_pairwise_mutual_information_bits_mean,method,observed_support_size_ci_high,observed_support_size_ci_low,observed_support_size_mean,relation_separation_ci_high,relation_separation_ci_low,relation_separation_mean,selected_relation_rank_ci_high,selected_relation_rank_ci_low,selected_relation_rank_mean,shots_per_batch,top_is_relation_ci_high,top_is_relation_ci_low,top_is_relation_mean,top_yields_factor_ci_high,top_yields_factor_ci_low,top_yields_factor_mean,total_correlation_bits_ci_high,total_correlation_bits_ci_low,total_correlation_bits_mean
169,200,3.0,3.0,3.0,2.9618873355489335,2.9537546388066573,2.9578209871777954,0.19255892990498993,0.17523609617340022,0.18389751303919508,6.602384757804223,6.578814269988171,6.590599513896197,3.2132301967513217,3.193759726359406,3.203494961555364,notebook_squared_primes,104.92833798507928,103.73166201492072,104.33,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.806007698582498,7.777922722345897,7.791965210464197
169,200,3.0,3.0,3.0,2.967783213821718,2.9619570446081958,2.964870129214957,0.19195935276966783,0.17345878570136844,0.18270906923551813,6.599695100537133,6.57517279250164,6.587433946519386,3.213287872449197,3.1927440742287065,3.203015973338952,squared_primes_deduplicated,104.84608073011746,103.62391926988253,104.235,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.809606115923777,7.779649035746535,7.794627575835156
169,200,3.0,3.0,3.0,2.918452493838025,2.9053014775007835,2.9118769856694042,0.1827636548529775,0.16596266012715657,0.17436315749006703,6.792781806602444,6.7755819451706545,6.784181875886549,3.07794299401225,3.0596111926639655,3.0687770933381078,random_coprime_residues,115.44131410963492,114.46868589036508,114.955,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.6718981744188985,7.643463705196916,7.657680939807907
169,200,3.0,3.0,3.0,2.914192986678104,2.902423632772958,2.908308309725531,0.18642982393769758,0.16796005915863926,0.17719494154816842,6.599193893557219,6.5781984471080275,6.588696170332623,3.242862046977131,3.2248362406335103,3.2338491438053207,random_coprime_squares,104.8247165135427,103.7152834864573,104.27,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.8216396873889265,7.795222231966579,7.808430959677753
169,200,3.0,3.0,3.0,2.9718694490782234,2.9664017197979327,2.969135584438078,0.1977785234219166,0.1839778814450101,0.19087820243346335,6.786146230619319,6.768391965155126,6.777269097887222,2.9987204489527834,2.9795611068815906,2.989140777917187,dependency_aware,115.01978431399829,114.01021568600171,114.515,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.670865378465937,7.644201971644829,7.657533675055383
247,200,3.0,3.0,3.0,2.9156435348831997,2.9012042382021765,2.908423886542688,0.18871810243572257,0.16918758402327783,0.1789528432295002,6.473221518523361,6.447374842259369,6.460298180391365,2.668099151806892,2.648912139599944,2.658505645703418,notebook_squared_primes,98.4626265888226,97.1973734111774,97.83,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,6.431740748095931,6.396351596037988,6.41404617206696
247,200,3.0,3.0,3.0,2.919906988251128,2.9073908406428206,2.9136489144469744,0.19511522574417178,0.17540848729890357,0.18526185652153768,6.461444818560201,6.435241686564568,6.448343252562385,2.6652128163298756,2.6451669935592492,2.6551899049445624,squared_primes_deduplicated,97.97569117833326,96.71430882166673,97.345,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,6.421986105586666,6.38553237185883,6.403759238722748
247,200,3.0,3.0,3.0,2.9687235564936176,2.9627351743820207,2.965729365437819,0.18790270394128197,0.1720288479909732,0.1799657759661276,6.840622843428246,6.826485940725242,6.833554392076744,2.8305946378818203,2.81240138100337,2.821498009442595,random_coprime_residues,118.14976308697057,117.31023691302944,117.73,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,7.311026648326593,7.282137656534123,7.296582152430358
247,200,2.0,2.0,2.0,2.960202438391456,2.9522155984479874,2.9562090184197216,1.8776064034834552,1.8402633344444737,1.8589348689639644,6.390664968923781,6.362110585314348,6.3763877771190645,2.0413420166075005,2.0209580053565537,2.031150010982027,random_coprime_squares,94.8721289089103,93.54787109108969,94.21,0.8001617245201951,0.7876579078966912,0.7939098162084431,1.0,1.0,1.0,128,1.0,0.9811546736227335,1.0,1.0,0.9811546736227335,1.0,4.944245151884961,4.896423524068607,4.920334337976784
247,200,3.0,3.0,3.0,2.969349481360552,2.962724453130258,2.966036967245405,0.18121583578953565,0.16848179828889576,0.1748488170392157,6.8401463791876305,6.824986039264023,6.832566209225827,2.4054964694138685,2.3851289447788058,2.395312707096337,dependency_aware,118.15619310833532,117.25380689166468,117.705,,,,0.0,0.0,0.0,128,0.018845326377266575,1.734723475976807e-18,0.0,0.018845326377266575,1.734723475976807e-18,0.0,6.6531645326508935,6.619328829327075,6.636246680988984
