M,N,arithmetic_and_preparation_canonical_cx,cutoff,d,full_canonical_cx,n,omitted_layers,q,qft_canonical_cx,qft_fraction_of_full_canonical_cx,resource_scope,source_ccx,source_cswap,source_cx
8,55,91698,0,2,91704,6,2,3,6,6.542789845590159e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,13956,36,7674
8,55,91698,1,2,91712,6,1,3,14,0.00015265177948360083,exact source flattening; all-to-all CX basis; no routing/fault tolerance,13956,36,7674
8,55,91698,2,2,91716,6,0,3,18,0.00019625801386889964,exact source flattening; all-to-all CX basis; no routing/fault tolerance,13956,36,7674
16,55,122224,0,2,122236,6,3,4,12,9.817075166072188e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,18600,48,10240
16,55,122224,1,2,122248,6,2,4,24,0.0001963222302205353,exact source flattening; all-to-all CX basis; no routing/fault tolerance,18600,48,10240
16,55,122224,2,2,122256,6,1,4,32,0.00026174584478471405,exact source flattening; all-to-all CX basis; no routing/fault tolerance,18600,48,10240
16,55,122224,3,2,122260,6,0,4,36,0.0002944544413544904,exact source flattening; all-to-all CX basis; no routing/fault tolerance,18600,48,10240
32,55,152750,0,2,152762,6,4,5,12,7.855356698655424e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,23244,60,12806
32,55,152750,1,2,152778,6,3,5,28,0.00018327246069460261,exact source flattening; all-to-all CX basis; no routing/fault tolerance,23244,60,12806
32,55,152750,2,2,152790,6,2,5,40,0.00026179723803913867,exact source flattening; all-to-all CX basis; no routing/fault tolerance,23244,60,12806
32,55,152750,3,2,152798,6,1,5,48,0.0003141402374376628,exact source flattening; all-to-all CX basis; no routing/fault tolerance,23244,60,12806
32,55,152750,4,2,152802,6,0,5,52,0.0003403096818104475,exact source flattening; all-to-all CX basis; no routing/fault tolerance,23244,60,12806
8,65,137849,0,2,137855,7,2,3,6,4.352399260092126e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21166,42,10517
8,65,137849,1,2,137863,7,1,3,14,0.00010155008958168617,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21166,42,10517
8,65,137849,2,2,137867,7,0,3,18,0.0001305606127644759,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21166,42,10517
16,65,183689,0,2,183701,7,3,4,12,6.532354206019565e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28214,56,13957
16,65,183689,1,2,183713,7,2,4,24,0.000130638550347553,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28214,56,13957
16,65,183689,2,2,183721,7,1,4,32,0.00017417714904665227,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28214,56,13957
16,65,183689,3,2,183725,7,0,4,36,0.00019594502653422235,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28214,56,13957
32,65,229529,0,2,229541,7,4,5,12,5.227824223123538e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35262,70,17397
32,65,229529,1,2,229557,7,3,5,28,0.00012197406308672792,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35262,70,17397
32,65,229529,2,2,229569,7,2,5,40,0.00017423955324978547,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35262,70,17397
32,65,229529,3,2,229577,7,1,5,48,0.00020908017789238469,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35262,70,17397
32,65,229529,4,2,229581,7,0,5,52,0.00022649957966904927,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35262,70,17397
8,85,137383,0,2,137389,7,2,3,6,4.3671618542969234e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21108,42,10399
8,85,137383,1,2,137397,7,1,3,14,0.00010189451006936105,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21108,42,10399
8,85,137383,2,2,137401,7,0,3,18,0.00013100341336671494,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21108,42,10399
16,85,183147,0,2,183159,7,3,4,12,6.551684601903265e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28160,56,13739
16,85,183147,1,2,183171,7,2,4,24,0.00013102510768626038,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28160,56,13739
16,85,183147,2,2,183179,7,1,4,32,0.00017469251387986615,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28160,56,13739
16,85,183147,3,2,183183,7,0,4,36,0.00019652478668872111,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28160,56,13739
32,85,228911,0,2,228923,7,4,5,12,5.241937245274612e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35212,70,17079
32,85,228911,1,2,228939,7,3,5,28,0.00012230332097196197,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35212,70,17079
32,85,228911,2,2,228951,7,2,5,40,0.00017470987241811567,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35212,70,17079
32,85,228911,3,2,228959,7,1,5,48,0.00020964452150821762,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35212,70,17079
32,85,228911,4,2,228963,7,0,5,52,0.00022711093058703808,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35212,70,17079
8,95,139222,0,2,139228,7,2,3,6,4.309477978567529e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21252,42,11374
8,95,139222,1,2,139236,7,1,3,14,0.00010054870866729869,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21252,42,11374
8,95,139222,2,2,139240,7,0,3,18,0.0001292731973570813,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21252,42,11374
16,95,185655,0,2,185667,7,3,4,12,6.463184087640777e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28336,56,15191
16,95,185655,1,2,185679,7,2,4,24,0.0001292553277430404,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28336,56,15191
16,95,185655,2,2,185687,7,1,4,32,0.00017233301200407137,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28336,56,15191
16,95,185655,3,2,185691,7,0,4,36,0.00019387046221949368,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28336,56,15191
32,95,232077,0,2,232089,7,4,5,12,5.170430309062472e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35420,70,18997
32,95,232077,1,2,232105,7,3,5,28,0.00012063505740936215,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35420,70,18997
32,95,232077,2,2,232117,7,2,5,40,0.00017232688687170695,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35420,70,18997
32,95,232077,3,2,232125,7,1,5,48,0.00020678513731825526,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35420,70,18997
32,95,232077,4,2,232129,7,0,5,52,0.00022401337187512115,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35420,70,18997
8,115,139083,0,2,139089,7,2,3,6,4.313784699005673e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21198,42,11559
8,115,139083,1,2,139097,7,1,3,14,0.0001006491872578129,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21198,42,11559
8,115,139083,2,2,139101,7,0,3,18,0.00012940237669031854,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21198,42,11559
16,115,185355,0,2,185367,7,3,4,12,6.473644176147858e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28258,56,15359
16,115,185355,1,2,185379,7,2,4,24,0.000129464502451734,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28258,56,15359
16,115,185355,2,2,185387,7,1,4,32,0.00017261188756493174,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28258,56,15359
16,115,185355,3,2,185391,7,0,4,36,0.00019418418369823777,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28258,56,15359
32,115,232143,0,2,232155,7,4,5,12,5.16896039284099e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35378,70,19315
32,115,232143,1,2,232171,7,3,5,28,0.00012060076409198393,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35378,70,19315
32,115,232143,2,2,232183,7,2,5,40,0.00017227790148288203,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35378,70,19315
32,115,232143,3,2,232191,7,1,5,48,0.00020672635890279985,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35378,70,19315
32,115,232143,4,2,232195,7,0,5,52,0.00022394969745257218,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35378,70,19315
8,119,139170,0,2,139176,7,2,3,6,4.311088118641145e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21222,42,11502
8,119,139170,1,2,139184,7,1,3,14,0.0001005862742844005,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21222,42,11502
8,119,139170,2,2,139188,7,0,3,18,0.00012932149323217519,exact source flattening; all-to-all CX basis; no routing/fault tolerance,21222,42,11502
16,119,185608,0,2,185620,7,3,4,12,6.464820601228316e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28306,56,15324
16,119,185608,1,2,185632,7,2,4,24,0.00012928805378383036,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28306,56,15324
16,119,185608,2,2,185640,7,1,4,32,0.00017237664296487827,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28306,56,15324
16,119,185608,3,2,185644,7,0,4,36,0.0001939195449354679,exact source flattening; all-to-all CX basis; no routing/fault tolerance,28306,56,15324
32,119,232046,0,2,232058,7,4,5,12,5.171121012850236e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35390,70,19146
32,119,232046,1,2,232074,7,3,5,28,0.00012065117160905574,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35390,70,19146
32,119,232046,2,2,232086,7,2,5,40,0.00017234990477667762,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35390,70,19146
32,119,232046,3,2,232094,7,1,5,48,0.00020681275690022147,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35390,70,19146
32,119,232046,4,2,232098,7,0,5,52,0.0002240432920576653,exact source flattening; all-to-all CX basis; no routing/fault tolerance,35390,70,19146
8,133,202500,0,2,202506,8,2,3,6,2.9628751740689166e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30556,48,18780
8,133,202500,1,2,202514,8,1,3,14,6.91310230403824e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30556,48,18780
8,133,202500,2,2,202518,8,0,3,18,8.888098835659053e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30556,48,18780
16,133,269730,0,2,269742,8,3,4,12,4.448695420068065e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40714,64,24934
16,133,269730,1,2,269754,8,2,4,24,8.896995039925265e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40714,64,24934
16,133,269730,2,2,269762,8,1,4,32,0.00011862308256907941,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40714,64,24934
16,133,269730,3,2,269766,8,0,4,36,0.0001334489891239074,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40714,64,24934
32,133,337110,0,2,337122,8,4,5,12,3.559542242867567e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,50892,80,31118
32,133,337110,1,2,337138,8,3,5,28,8.305204397012499e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,50892,80,31118
32,133,337110,2,2,337150,8,2,5,40,0.00011864155420436007,exact source flattening; all-to-all CX basis; no routing/fault tolerance,50892,80,31118
32,133,337110,3,2,337158,8,1,5,48,0.00014236648692897693,exact source flattening; all-to-all CX basis; no routing/fault tolerance,50892,80,31118
32,133,337110,4,2,337162,8,0,5,52,0.0001542285310918787,exact source flattening; all-to-all CX basis; no routing/fault tolerance,50892,80,31118
8,161,201138,0,2,201144,8,2,3,6,2.982937596945472e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30460,48,17994
8,161,201138,1,2,201152,8,1,3,14,6.959910913140311e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30460,48,17994
8,161,201138,2,2,201156,8,0,3,18,8.948278947682396e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,30460,48,17994
16,161,268405,0,2,268417,8,3,4,12,4.470655733429701e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40634,64,24089
16,161,268405,1,2,268429,8,2,4,24,8.940911749475653e-05,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40634,64,24089
16,161,268405,2,2,268437,8,1,4,32,0.00011920860388098511,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40634,64,24089
16,161,268405,3,2,268441,8,0,4,36,0.00013410768101743028,exact source flattening; all-to-all CX basis; no routing/fault tolerance,40634,64,24089
