M,N_clusters,comparison,factor_successes,full_cost_saving_percent_vs_exact,full_cx_per_recovered_factor,full_saving_cluster_bootstrap_ci95_high,full_saving_cluster_bootstrap_ci95_low,model,omitted_layers,pooled_factor_probability,q,qft_cost_saving_percent_vs_exact,qft_cx_per_recovered_factor,qft_fraction_of_full_cost,qft_saving_cluster_bootstrap_ci95_high,qft_saving_cluster_bootstrap_ci95_low,trials
8,8,exact,61,0.0,8726356.983606558,0.0,0.0,A_uniform_hard_box,0,0.119140625,3,0.0,1057.5737704918033,0.00012119304452918606,0.0,0.0,512
8,8,omit_one_layer,55,-10.906103929003507,9678062.545454545,0.0025990396548492,-33.32993306518922,A_uniform_hard_box,1,0.107421875,3,13.737373737373748,912.290909090909,9.426379554856058e-05,22.222222222222232,-3.703703703703698,512
8,8,exact,46,0.0,11571908.173913043,0.0,0.0,B_exact_finite_discrete_gaussian,0,0.08984375,3,0.0,1402.4347826086957,0.00012119304452918606,0.0,0.0,512
8,8,omit_one_layer,45,-2.2194691950378598,11828743.111111112,15.386804400543907,-21.049418111304476,B_exact_finite_discrete_gaussian,1,0.087890625,3,20.493827160493836,1115.0222222222221,9.426379554856058e-05,34.18803418803419,5.847953216374268,512
16,8,exact,87,0.0,8157209.747126437,0.0,0.0,A_uniform_hard_box,0,0.169921875,4,0.0,1483.0344827586207,0.00018180658935257283,0.0,0.0,512
16,8,omit_one_layer,84,-3.56933635274157,8448368.0,0.0019486802882862087,-7.545027166596436,A_uniform_hard_box,1,0.1640625,4,7.936507936507942,1365.3333333333333,0.00016160912182487,11.111111111111116,4.360056258790435,512
16,8,exact,43,0.0,16504122.046511628,0.0,0.0,B_exact_finite_discrete_gaussian,0,0.083984375,4,0.0,3000.5581395348836,0.00018180658935257283,0.0,0.0,512
16,8,omit_one_layer,41,-4.875930167115938,17308851.51219512,0.0019475375384669924,-24.997599916957114,B_exact_finite_discrete_gaussian,1,0.080078125,4,6.775067750677499,2797.268292682927,0.00016160912182487,11.111111111111116,-11.111111111111116,512
32,8,exact,102,0.0,8699246.43137255,0.0,0.0,A_uniform_hard_box,0,0.19921875,5,0.0,1827.137254901961,0.00021003396895536374,0.0,0.0,512
32,8,omit_one_layer,99,-3.028638425420871,8962715.151515152,0.0017279495689814794,-11.536749661581492,A_uniform_hard_box,1,0.193359375,5,4.895104895104896,1737.6969696969697,0.0001938806422296274,7.692307692307709,-2.95857988165682,512
32,8,exact,36,0.0,24647864.888888888,0.0,0.0,B_exact_finite_discrete_gaussian,0,0.0703125,5,0.0,5176.888888888889,0.00021003396895536374,0.0,0.0,512
32,8,omit_one_layer,38,5.264688506656345,23350231.57894737,14.28704621589617,0.0014791292550886403,B_exact_finite_discrete_gaussian,1,0.07421875,5,12.550607287449377,4527.1578947368425,0.0001938806422296274,20.879120879120872,7.692307692307687,512
