code_modular_additions,code_over_paper,d,d_times_q,invariant_expected,invariant_passed,n,paper_substitution_additions,q
256,8.0,16,16,256,True,8,32,1
256,4.0,8,16,256,True,8,64,2
256,2.0,4,16,256,True,8,128,4
256,1.0,2,16,256,True,8,256,8
256,0.5,1,16,256,True,8,512,16
1024,16.0,32,32,1024,True,16,64,1
1024,8.0,16,32,1024,True,16,128,2
1024,4.0,8,32,1024,True,16,256,4
1024,2.0,4,32,1024,True,16,512,8
1024,1.0,2,32,1024,True,16,1024,16
1024,0.5,1,32,1024,True,16,2048,32
4096,32.0,64,64,4096,True,32,128,1
4096,16.0,32,64,4096,True,32,256,2
4096,8.0,16,64,4096,True,32,512,4
4096,4.0,8,64,4096,True,32,1024,8
4096,2.0,4,64,4096,True,32,2048,16
4096,1.0,2,64,4096,True,32,4096,32
4096,0.5,1,64,4096,True,32,8192,64
16384,64.0,128,128,16384,True,64,256,1
16384,32.0,64,128,16384,True,64,512,2
16384,16.0,32,128,16384,True,64,1024,4
16384,8.0,16,128,16384,True,64,2048,8
16384,4.0,8,128,16384,True,64,4096,16
16384,2.0,4,128,16384,True,64,8192,32
16384,1.0,2,128,16384,True,64,16384,64
16384,0.5,1,128,16384,True,64,32768,128
65536,128.0,256,256,65536,True,128,512,1
65536,64.0,128,256,65536,True,128,1024,2
65536,32.0,64,256,65536,True,128,2048,4
65536,16.0,32,256,65536,True,128,4096,8
65536,8.0,16,256,65536,True,128,8192,16
65536,4.0,8,256,65536,True,128,16384,32
65536,2.0,4,256,65536,True,128,32768,64
65536,1.0,2,256,65536,True,128,65536,128
65536,0.5,1,256,65536,True,128,131072,256
262144,256.0,512,512,262144,True,256,1024,1
262144,128.0,256,512,262144,True,256,2048,2
262144,64.0,128,512,262144,True,256,4096,4
262144,32.0,64,512,262144,True,256,8192,8
262144,16.0,32,512,262144,True,256,16384,16
262144,8.0,16,512,262144,True,256,32768,32
262144,4.0,8,512,262144,True,256,65536,64
262144,2.0,4,512,262144,True,256,131072,128
262144,1.0,2,512,262144,True,256,262144,256
262144,0.5,1,512,262144,True,256,524288,512
1048576,512.0,1024,1024,1048576,True,512,2048,1
1048576,256.0,512,1024,1048576,True,512,4096,2
1048576,128.0,256,1024,1048576,True,512,8192,4
1048576,64.0,128,1024,1048576,True,512,16384,8
1048576,32.0,64,1024,1048576,True,512,32768,16
1048576,16.0,32,1024,1048576,True,512,65536,32
1048576,8.0,16,1024,1048576,True,512,131072,64
1048576,4.0,8,1024,1048576,True,512,262144,128
1048576,2.0,4,1024,1048576,True,512,524288,256
1048576,1.0,2,1024,1048576,True,512,1048576,512
1048576,0.5,1,1024,1048576,True,512,2097152,1024
4194304,1024.0,2048,2048,4194304,True,1024,4096,1
4194304,512.0,1024,2048,4194304,True,1024,8192,2
4194304,256.0,512,2048,4194304,True,1024,16384,4
4194304,128.0,256,2048,4194304,True,1024,32768,8
4194304,64.0,128,2048,4194304,True,1024,65536,16
4194304,32.0,64,2048,4194304,True,1024,131072,32
4194304,16.0,32,2048,4194304,True,1024,262144,64
4194304,8.0,16,2048,4194304,True,1024,524288,128
4194304,4.0,8,2048,4194304,True,1024,1048576,256
4194304,2.0,4,2048,4194304,True,1024,2097152,512
4194304,1.0,2,2048,4194304,True,1024,4194304,1024
4194304,0.5,1,2048,4194304,True,1024,8388608,2048
