component,constant_pattern,n,normalized_ccx_over_n_log2_n,proved_limit,source_ccx
controlled_constant_adder,one,8,5.25,10,126
controlled_constant_adder,alternating,8,4.833333333333333,10,116
controlled_constant_adder,all_ones,8,5.666666666666667,10,136
double_controlled_modular_adder,one,8,13.291666666666666,20,319
double_controlled_modular_adder,one_third,8,13.291666666666666,20,319
double_controlled_modular_adder,N_minus_one,8,13.291666666666666,20,319
controlled_constant_adder,one,16,6.03125,10,386
controlled_constant_adder,alternating,16,5.8125,10,372
controlled_constant_adder,all_ones,16,6.5,10,416
double_controlled_modular_adder,one,16,14.359375,20,919
double_controlled_modular_adder,one_third,16,14.359375,20,919
double_controlled_modular_adder,N_minus_one,16,14.359375,20,919
controlled_constant_adder,one,32,6.6375,10,1062
controlled_constant_adder,alternating,32,6.525,10,1044
controlled_constant_adder,all_ones,32,7.1,10,1136
double_controlled_modular_adder,one,32,15.24375,20,2439
double_controlled_modular_adder,one_third,32,15.24375,20,2439
double_controlled_modular_adder,N_minus_one,32,15.24375,20,2439
controlled_constant_adder,one,64,7.109375,10,2730
controlled_constant_adder,alternating,64,7.052083333333333,10,2708
controlled_constant_adder,all_ones,64,7.541666666666667,10,2896
double_controlled_modular_adder,one,64,15.934895833333334,20,6119
double_controlled_modular_adder,one_third,64,15.934895833333334,20,6119
double_controlled_modular_adder,N_minus_one,64,15.934895833333334,20,6119
controlled_constant_adder,one,128,7.479910714285714,10,6702
controlled_constant_adder,alternating,128,7.450892857142857,10,6676
controlled_constant_adder,all_ones,128,7.875,10,7056
double_controlled_modular_adder,one,128,16.472098214285715,20,14759
double_controlled_modular_adder,one_third,128,16.472098214285715,20,14759
double_controlled_modular_adder,N_minus_one,128,16.472098214285715,20,14759
controlled_constant_adder,one,256,7.7744140625,10,15922
controlled_constant_adder,alternating,256,7.759765625,10,15892
controlled_constant_adder,all_ones,256,8.1328125,10,16656
double_controlled_modular_adder,one,256,16.89404296875,20,34599
double_controlled_modular_adder,one_third,256,16.89404296875,20,34599
double_controlled_modular_adder,N_minus_one,256,16.89404296875,20,34599
controlled_constant_adder,one,512,8.01171875,10,36918
controlled_constant_adder,alternating,512,8.004340277777779,10,36884
controlled_constant_adder,all_ones,512,8.336805555555555,10,38416
double_controlled_modular_adder,one,512,17.23068576388889,20,79399
double_controlled_modular_adder,one_third,512,17.23068576388889,20,79399
double_controlled_modular_adder,N_minus_one,512,17.23068576388889,20,79399
controlled_constant_adder,one,1024,8.2056640625,10,84026
controlled_constant_adder,alternating,1024,8.201953125,10,83988
controlled_constant_adder,all_ones,1024,8.5015625,10,87056
double_controlled_modular_adder,one,1024,17.50380859375,20,179239
double_controlled_modular_adder,one_third,1024,17.50380859375,20,179239
double_controlled_modular_adder,N_minus_one,1024,17.50380859375,20,179239
controlled_constant_adder,one,2048,8.366388494318182,10,188478
controlled_constant_adder,alternating,2048,8.364524147727273,10,188436
controlled_constant_adder,all_ones,2048,8.637073863636363,10,194576
double_controlled_modular_adder,one,2048,17.72900390625,20,399399
double_controlled_modular_adder,one_third,2048,17.72900390625,20,399399
double_controlled_modular_adder,N_minus_one,2048,17.72900390625,20,399399
controlled_constant_adder,one,4096,8.5013427734375,10,417858
controlled_constant_adder,alternating,4096,8.500406901041666,10,417812
controlled_constant_adder,all_ones,4096,8.750325520833334,10,430096
double_controlled_modular_adder,one,4096,17.917460123697918,20,880679
double_controlled_modular_adder,one_third,4096,17.917460123697918,20,880679
double_controlled_modular_adder,N_minus_one,4096,17.917460123697918,20,880679
controlled_constant_adder,one,8192,8.616041917067308,10,917574
controlled_constant_adder,alternating,8192,8.615572415865385,10,917524
controlled_constant_adder,all_ones,8192,8.846304086538462,10,942096
double_controlled_modular_adder,one,8192,18.077289287860577,20,1925159
double_controlled_modular_adder,one_third,8192,18.077289287860577,20,1925159
double_controlled_modular_adder,N_minus_one,8192,18.077289287860577,20,1925159
