N,status,primary_least_witness_outcome,all_witness_outcome,outcome_changed,all_witness_relation_count,all_witness_factor_relation_count,all_witness_l0_relation_count,factor_pair,canonical_cx_saving_fraction,verified,known_factors_used
27221,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
28199,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
29177,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
29503,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
31133,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
31459,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
32111,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
32437,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
34393,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
28891,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
29893,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
30227,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
31897,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
32231,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
32899,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
33233,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
35237,posthoc_sensitivity_not_new_holdout,fused,fused,False,1,0,1,,0.08498731568023679,True,False
30967,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
31313,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
33043,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
33389,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
34081,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
34427,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
36503,posthoc_sensitivity_not_new_holdout,baseline,baseline,False,0,0,0,,0.0,True,False
