protocol_id,N,n,dimension,exponent_width,arm,roots,bases,max_power,outcome,actionable,quantum_oracle_required,factor_pair,factor_valid_without_manifest,relation_count,l0_relation_count,factor_relation_count,relations,public_power_steps,pair_lookup_count,gcd_classification_calls,baseline_canonical_cx,selected_canonical_cx,canonical_cx_saved,canonical_cx_saving_fraction,baseline_full_width_multiplier_calls,selected_full_width_multiplier_calls,full_width_multiplier_calls_saved,selected_source_x,selected_source_cx,selected_source_ccx,selected_source_cswap,extra_qubits,max_accumulator_width,plan_verified,equivalence_passed,equivalence_checks,certificate_passed,runtime_seconds,peak_memory_bytes,factor_information_used,group_order_used,posthoc_expected_factor_pair,posthoc_factor_match
factor-or-fuse-holdout-v1,27221,15,4,8,serial_baseline,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],0,0,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,0.6366311249730643,15790,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,27221,15,4,8,factor_only_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,0.3587437499954831,13592,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,27221,15,4,8,duplicate_fusion_only,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],4,12,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,0.7406475409807172,12416,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,27221,15,4,8,orbit_fusion_only_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,0.8410976250015665,24840,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,27221,15,4,8,greedy_factor_or_fuse_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,1.648415458999807,12448,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,27221,15,4,8,complete_cost_optimal_factor_or_fuse_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5315485,5315485,0,0.0,32,32,0,358426,544609,794506,480,0,0,True,True,290,True,1.6028500419924967,12096,False,False,"[163, 167]",True
factor-or-fuse-holdout-v1,28199,15,4,8,serial_baseline,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],0,0,0,5311623,5311623,0,0.0,32,32,0,360258,546531,793542,480,0,0,True,True,290,True,0.7166252080060076,9416,False,False,"[163, 173]",True
factor-or-fuse-holdout-v1,28199,15,4,8,factor_only_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5311623,5311623,0,0.0,32,32,0,360258,546531,793542,480,0,0,True,True,290,True,0.395850041997619,12920,False,False,"[163, 173]",True
factor-or-fuse-holdout-v1,28199,15,4,8,duplicate_fusion_only,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],4,12,0,5311623,5311623,0,0.0,32,32,0,360258,546531,793542,480,0,0,True,True,290,True,0.8468616669997573,12920,False,False,"[163, 173]",True
factor-or-fuse-holdout-v1,28199,15,4,8,orbit_fusion_only_K64,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,baseline,False,True,,False,0,0,0,[],256,12,0,5311623,5311623,0,0.0,32,32,0,360258,546531,793542,480,0,0,True,True,290,True,0.8433230409864336,24712,False,False,"[163, 173]",True
