bit_length,N_count,any_relation_count,any_relation_fraction,relation_wilson_low,relation_wilson_high,factor_count,all_witness_factor_count,factor_missed_by_least_policy_count,L0_only_count,no_relation_count,no_wrap_certified_count,median_runtime_seconds
12,100,50,0.5,0.4038315303659956,0.5961684696340044,28,29,1,22,50,0,5.3291500080376863e-05
16,100,4,0.04,0.01566330399154762,0.0983707143588792,2,2,0,2,96,0,4.579100641421974e-05
20,100,1,0.01,0.0017674320641406505,0.054486196178705315,0,0,0,1,99,0,5.699999746866524e-05
24,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,5.7145487517118454e-05
32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,9.331198816653341e-05
48,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00010874998406507075
64,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00012631250137928873
96,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00016010399849619716
128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.0001875415036920458
192,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00022141648514661938
256,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00025706199812702835
384,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00033604200871195644
512,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.00037933350540697575
768,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,0,0.0004516454937402159
1024,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,100,0.0005281664925860241
1536,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,100,0.0007032084977254272
2048,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0,0,0,100,100,0.0008137085096677765
