bit_length,case_index,N,posthoc_p,posthoc_q,dimension,roots,bases,max_power,outcome,relation_count,factor_relation_count,l0_relation_count,all_witness_outcome,all_witness_relation_count,all_witness_factor_relation_count,all_witness_l0_relation_count,factor_missed_by_least_witness_policy,smallest_power,factor_pair,all_witness_factor_pair,posthoc_factor_match,no_wrap_certified,runtime_seconds,known_factors_used_by_scan,group_orders_used
12,0,2119,13,163,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,classical_factor,2,1,1,classical_factor,2,1,1,False,15,"[13, 163]","[13, 163]",True,False,0.00010112498421221972,False,False
12,1,2171,13,167,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,L0_only,1,0,1,L0_only,1,0,1,False,27,,,True,False,6.541699985973537e-05,False,False
12,2,2249,13,173,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,classical_factor,2,2,0,classical_factor,2,2,0,False,33,"[13, 173]","[13, 173]",True,False,6.766599835827947e-05,False,False
12,3,2327,13,179,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.962499951943755e-05,False,False
12,4,2353,13,181,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.7667010221630335e-05,False,False
12,5,2483,13,191,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.704098682850599e-05,False,False
12,6,2509,13,193,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.4750020606443286e-05,False,False
12,7,2561,13,197,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.7457986511290073e-05,False,False
12,8,2587,13,199,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.675000673159957e-05,False,False
12,9,2743,13,211,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,L0_only,1,0,1,L0_only,1,0,1,False,27,,,True,False,5.541602149605751e-05,False,False
12,10,2899,13,223,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,L0_only,1,0,1,L0_only,1,0,1,False,59,,,True,False,5.4415984777733684e-05,False,False
12,11,2951,13,227,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,classical_factor,2,1,1,classical_factor,2,1,1,False,41,"[13, 227]","[13, 227]",True,False,6.254101754166186e-05,False,False
12,12,2977,13,229,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.729101783595979e-05,False,False
12,13,3029,13,233,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.64579788967967e-05,False,False
12,14,3107,13,239,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.687500768341124e-05,False,False
12,15,3133,13,241,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,L0_only,1,0,1,L0_only,1,0,1,False,62,,,True,False,5.3750001825392246e-05,False,False
12,16,3263,13,251,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,classical_factor,1,1,0,classical_factor,1,1,0,False,33,"[13, 251]","[13, 251]",True,False,5.470900214277208e-05,False,False
12,17,3341,13,257,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.779102164320648e-05,False,False
12,18,3419,13,263,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.683298175223172e-05,False,False
12,19,3497,13,269,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.6959001338109374e-05,False,False
12,20,3523,13,271,4,"[2, 3, 5, 7]","[4, 9, 25, 49]",64,no_relation,0,0,0,no_relation,0,0,0,False,,,,True,False,4.6542001655325294e-05,False,False
