M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
8,55,0,0.14997696642496888,0.024570803674792932,0.0625,0.14997696642496888,0.024570803674792932,0.0625,0.004352041031779663,A_uniform_hard_box,2,64
8,55,1,0.29974591554775176,0.11064534880922097,0.1875,0.29974591554775176,0.11064534880922097,0.1875,0.001521856105682673,A_uniform_hard_box,1,64
8,55,2,0.36816509174383727,0.16014791974174092,0.25,0.36816509174383727,0.16014791974174092,0.25,0.0015608932390023256,A_uniform_hard_box,0,64
8,55,0,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0016750625300119282,B_exact_finite_discrete_gaussian,2,64
8,55,1,0.24616508394637426,0.07578487006414436,0.140625,0.24616508394637426,0.07578487006414436,0.140625,0.0016110904034576379,B_exact_finite_discrete_gaussian,1,64
8,55,2,0.2821344149016591,0.0987764126731623,0.171875,0.2821344149016591,0.0987764126731623,0.171875,0.0015912253238639096,B_exact_finite_discrete_gaussian,0,64
16,55,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0015853235754548223,A_uniform_hard_box,3,64
16,55,1,0.12899860788542522,0.016068725432185196,0.046875,0.12899860788542522,0.016068725432185196,0.046875,0.00156652732675866,A_uniform_hard_box,2,64
16,55,2,0.528550134954503,0.29456724435258885,0.40625,0.528550134954503,0.29456724435258885,0.40625,0.0015460983286175178,A_uniform_hard_box,1,64
16,55,3,0.5591400822171212,0.32293817065427327,0.4375,0.5591400822171212,0.32293817065427327,0.4375,0.0016032741077651735,A_uniform_hard_box,0,64
16,55,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0016984882986434968,B_exact_finite_discrete_gaussian,3,64
16,55,1,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0017169290176752838,B_exact_finite_discrete_gaussian,2,64
16,55,2,0.14997696642496888,0.024570803674792932,0.0625,0.14997696642496888,0.024570803674792932,0.0625,0.0017171634681290016,B_exact_finite_discrete_gaussian,1,64
