M,N,cutoff,model,observed_value,proof_step,slack_factor,theoretical_bound
8,55,0,A_uniform_hard_box,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,55,0,A_uniform_hard_box,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,55,0,A_uniform_hard_box,0.9771235693945743,prepared_state_restriction,2.0468240278342678,1.9999999999999993
8,55,0,A_uniform_hard_box,0.2991246164367364,measurement_data_processing,3.2666103546888525,0.9771235693945743
8,55,0,A_uniform_hard_box,0.8698318370074355,sample_union_vs_hellinger,1.1496475036374783,1.0
8,55,0,A_uniform_hard_box,0.1875,distribution_bound_vs_factor_event,4.639103130706323,0.8698318370074355
8,55,1,A_uniform_hard_box,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,55,1,A_uniform_hard_box,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,55,1,A_uniform_hard_box,0.4556382296502428,prepared_state_restriction,3.1038079562785454,1.4142135623730947
8,55,1,A_uniform_hard_box,0.0989293039367364,measurement_data_processing,4.6056952947087915,0.4556382296502428
8,55,1,A_uniform_hard_box,0.43344800305338094,sample_union_vs_hellinger,1.597665977646389,0.6925051275571549
8,55,1,A_uniform_hard_box,0.0625,distribution_bound_vs_factor_event,6.935168048854095,0.43344800305338094
8,55,2,A_uniform_hard_box,0.0,omitted_gate_triangle,,0.0
8,55,2,A_uniform_hard_box,0.0,product_tensor_triangle,,0.0
8,55,2,A_uniform_hard_box,4.470348358154297e-08,prepared_state_restriction,0.0,0.0
8,55,2,A_uniform_hard_box,0.0,measurement_data_processing,,4.470348358154297e-08
8,55,2,A_uniform_hard_box,0.0,sample_union_vs_hellinger,,0.0
8,55,2,A_uniform_hard_box,0.0,distribution_bound_vs_factor_event,,0.0
8,55,0,B_exact_finite_discrete_gaussian,1.98288972274762,omitted_gate_triangle,1.9804383329728237,3.9269908169872414
8,55,0,B_exact_finite_discrete_gaussian,1.9999999999999993,product_tensor_triangle,3.9269908169872427,7.853981633974483
8,55,0,B_exact_finite_discrete_gaussian,0.9650010633021632,prepared_state_restriction,2.072536576442875,1.9999999999999993
8,55,0,B_exact_finite_discrete_gaussian,0.24891028444858415,measurement_data_processing,3.876903139779656,0.9650010633021632
8,55,0,B_exact_finite_discrete_gaussian,0.768391916455971,sample_union_vs_hellinger,1.301419208848874,1.0
8,55,0,B_exact_finite_discrete_gaussian,0.140625,distribution_bound_vs_factor_event,5.4641202947980165,0.768391916455971
8,55,1,B_exact_finite_discrete_gaussian,0.7653668647301793,omitted_gate_triangle,1.0261721529770311,0.7853981633974483
8,55,1,B_exact_finite_discrete_gaussian,1.4142135623730947,product_tensor_triangle,1.1107207345395917,1.5707963267948966
8,55,1,B_exact_finite_discrete_gaussian,0.4551916689564455,prepared_state_restriction,3.106852912346276,1.4142135623730947
