M,N,ci95_high,ci95_low,cutoff,d,factor_probability,factor_successes,lminus_candidates,m,mean_lll_seconds,model,replicates
8,35,0.9340852122641324,0.5699064013154177,0,2,0.8125,13,13,7,0.014109179799561389,A_uniform_hard_box,16
8,35,1.0,0.8063865817272802,1,2,1.0,16,16,7,0.0016871302541403566,A_uniform_hard_box,16
8,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0015807706768100616,A_uniform_hard_box,16
8,35,0.7200076238864916,0.2799923761135083,0,2,0.5,8,8,7,0.0015343853810918517,B_exact_finite_discrete_gaussian,16
8,35,1.0,0.8063865817272802,1,2,1.0,16,16,7,0.0016020856819523033,B_exact_finite_discrete_gaussian,16
8,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0017550782431499101,B_exact_finite_discrete_gaussian,16
16,35,0.8981809801576265,0.5050123107060135,0,2,0.75,12,12,7,0.0015653098744223826,A_uniform_hard_box,16
16,35,1.0,0.8063865817272802,1,2,1.0,16,16,7,0.0015151355000853073,A_uniform_hard_box,16
16,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0015613516879966483,A_uniform_hard_box,16
16,35,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.0015370260625786614,A_uniform_hard_box,16
16,35,0.613593529020652,0.18480982554752806,0,2,0.375,6,6,7,0.0016527786829101387,B_exact_finite_discrete_gaussian,16
16,35,0.9340852122641324,0.5699064013154177,1,2,0.8125,13,13,7,0.0016455573204439133,B_exact_finite_discrete_gaussian,16
16,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0017126537532021757,B_exact_finite_discrete_gaussian,16
16,35,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.0016860495015862398,B_exact_finite_discrete_gaussian,16
32,35,0.9340852122641324,0.5699064013154177,0,2,0.8125,13,13,7,0.0015833932520763483,A_uniform_hard_box,16
32,35,0.9888809426916687,0.7167073163197013,1,2,0.9375,15,15,7,0.0015531066856055986,A_uniform_hard_box,16
32,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.001531179623270873,A_uniform_hard_box,16
32,35,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.001719617132039275,A_uniform_hard_box,16
32,35,1.0,0.8063865817272802,4,2,1.0,16,16,7,0.0016362030037271325,A_uniform_hard_box,16
32,35,0.8583556494803894,0.4440393186673406,0,2,0.6875,11,11,7,0.001738536564516835,B_exact_finite_discrete_gaussian,16
32,35,0.8981809801576265,0.5050123107060135,1,2,0.75,12,12,7,0.0016737708065193146,B_exact_finite_discrete_gaussian,16
32,35,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.001726533937471686,B_exact_finite_discrete_gaussian,16
32,35,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.0017858176797744818,B_exact_finite_discrete_gaussian,16
32,35,1.0,0.8063865817272802,4,2,1.0,16,16,7,0.001708393119770335,B_exact_finite_discrete_gaussian,16
8,77,0.8583556494803894,0.4440393186673406,0,2,0.6875,11,11,7,0.0015327996370615438,A_uniform_hard_box,16
8,77,0.8981809801576265,0.5050123107060135,1,2,0.75,12,12,7,0.0015181510607362725,A_uniform_hard_box,16
8,77,0.8583556494803894,0.4440393186673406,2,2,0.6875,11,11,7,0.0015575497491226997,A_uniform_hard_box,16
8,77,0.613593529020652,0.18480982554752806,0,2,0.375,6,6,7,0.0015765678072057199,B_exact_finite_discrete_gaussian,16
8,77,0.9650232506629428,0.6397666856325173,1,2,0.875,14,14,7,0.0015462109986401629,B_exact_finite_discrete_gaussian,16
8,77,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0015790337383805308,B_exact_finite_discrete_gaussian,16
16,77,0.5559606813326594,0.14164435051961052,0,2,0.3125,5,5,7,0.0016120625659823418,A_uniform_hard_box,16
16,77,0.7690163666481448,0.33178195606776517,1,2,0.5625,9,9,7,0.0016300729294016492,A_uniform_hard_box,16
16,77,1.0,0.8063865817272802,2,2,1.0,16,16,7,0.0016306901306961663,A_uniform_hard_box,16
16,77,1.0,0.8063865817272802,3,2,1.0,16,16,7,0.0015620884914824273,A_uniform_hard_box,16
