M,cutoff,full_cutoff_exact,matrix_error_to_direct,q,unitarity_error
2,0,True,8.659560562354932e-17,1,2.4441574809578864e-16
4,0,False,1.4142135623730947,2,4.440892098500626e-16
4,1,True,4.2706262918484597e-16,2,4.689841911026366e-16
8,0,False,1.9828897227476203,3,6.879854403319468e-16
8,1,False,0.7653668647301791,3,6.749287600776708e-16
8,2,True,1.9373361087362053e-15,3,6.801312817232686e-16
16,0,False,1.9957178464772065,4,3.469446951953615e-16
16,1,False,1.6629392246050894,4,7.277010962147136e-16
16,2,False,0.39018064403225644,4,9.575848135406026e-16
16,3,True,4.548984585831223e-15,4,9.718660946145437e-16
