N,M,model,cutoff,factor_probability,ci95_low,ci95_high,mean_lll_seconds
35,8,A_uniform_hard_box,0,0.8125,0.5699064013154177,0.9340852122641324,0.015775276184285758
35,8,A_uniform_hard_box,1,0.5625,0.33178195606776517,0.7690163666481448,0.0015695703150413465
35,8,A_uniform_hard_box,2,1.0,0.8063865817272802,1.0,0.0016207447479246184
35,8,B_exact_finite_discrete_gaussian,0,0.5,0.2799923761135083,0.7200076238864916,0.0015832216195121873
35,8,B_exact_finite_discrete_gaussian,1,0.3125,0.14164435051961052,0.5559606813326594,0.0015707240054325666
35,8,B_exact_finite_discrete_gaussian,2,1.0,0.8063865817272802,1.0,0.001619856819161214
35,16,A_uniform_hard_box,0,0.75,0.5050123107060135,0.8981809801576265,0.0015777160006109625
35,16,A_uniform_hard_box,1,0.375,0.18480982554752806,0.613593529020652,0.001544250004371861
35,16,A_uniform_hard_box,2,0.375,0.18480982554752806,0.613593529020652,0.0015400573756778613
35,16,A_uniform_hard_box,3,1.0,0.8063865817272802,1.0,0.0015403749930555932
35,16,B_exact_finite_discrete_gaussian,0,0.375,0.18480982554752806,0.613593529020652,0.001653744748182362
35,16,B_exact_finite_discrete_gaussian,1,0.4375,0.2309836333518552,0.6682180439322347,0.0016002734919311479
35,16,B_exact_finite_discrete_gaussian,2,0.4375,0.2309836333518552,0.6682180439322347,0.0016130051262734924
35,16,B_exact_finite_discrete_gaussian,3,1.0,0.8063865817272802,1.0,0.001712101435259683
35,32,A_uniform_hard_box,0,0.8125,0.5699064013154177,0.9340852122641324,0.001790880134649342
35,32,A_uniform_hard_box,1,0.6875,0.4440393186673406,0.8583556494803894,0.0017930104986589868
35,32,A_uniform_hard_box,2,0.375,0.18480982554752806,0.613593529020652,0.001712442815914983
35,32,A_uniform_hard_box,3,0.25,0.10181901984237346,0.49498768929398645,0.0017673100082902238
35,32,A_uniform_hard_box,4,1.0,0.8063865817272802,1.0,0.0017702892546367366
35,32,B_exact_finite_discrete_gaussian,0,0.6875,0.4440393186673406,0.8583556494803894,0.002092127553623868
35,32,B_exact_finite_discrete_gaussian,1,0.5625,0.33178195606776517,0.7690163666481448,0.0020176925718260463
35,32,B_exact_finite_discrete_gaussian,2,0.4375,0.2309836333518552,0.6682180439322347,0.0019394088776607532
