M,certified,cp_saving,cutoff,cutoff_cp,d,dimensionless_ratio,exact_cp,loss_budget,m,operator_tv_bound,q,selected_cutoff,selected_exact,two_qubit_saving
8,False,6,0,0,2,80.0,6,0.05,4,1.0,3,2,True,6
8,False,2,1,4,2,80.0,6,0.05,4,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.05,4,0.0,3,2,True,0
8,False,6,0,0,2,40.0,6,0.1,4,1.0,3,2,True,6
8,False,2,1,4,2,40.0,6,0.1,4,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.1,4,0.0,3,2,True,0
8,False,6,0,0,2,20.0,6,0.2,4,1.0,3,2,True,6
8,False,2,1,4,2,20.0,6,0.2,4,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.2,4,0.0,3,2,True,0
8,False,6,0,0,2,160.0,6,0.05,8,1.0,3,2,True,6
8,False,2,1,4,2,160.0,6,0.05,8,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.05,8,0.0,3,2,True,0
8,False,6,0,0,2,80.0,6,0.1,8,1.0,3,2,True,6
8,False,2,1,4,2,80.0,6,0.1,8,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.1,8,0.0,3,2,True,0
8,False,6,0,0,2,40.0,6,0.2,8,1.0,3,2,True,6
8,False,2,1,4,2,40.0,6,0.2,8,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.2,8,0.0,3,2,True,0
8,False,6,0,0,2,240.0,6,0.05,12,1.0,3,2,True,6
8,False,2,1,4,2,240.0,6,0.05,12,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.05,12,0.0,3,2,True,0
8,False,6,0,0,2,120.0,6,0.1,12,1.0,3,2,True,6
8,False,2,1,4,2,120.0,6,0.1,12,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.1,12,0.0,3,2,True,0
8,False,6,0,0,2,60.0,6,0.2,12,1.0,3,2,True,6
8,False,2,1,4,2,60.0,6,0.2,12,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.2,12,0.0,3,2,True,0
8,False,6,0,0,2,480.0,6,0.05,24,1.0,3,2,True,6
8,False,2,1,4,2,480.0,6,0.05,24,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.05,24,0.0,3,2,True,0
8,False,6,0,0,2,240.0,6,0.1,24,1.0,3,2,True,6
8,False,2,1,4,2,240.0,6,0.1,24,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.1,24,0.0,3,2,True,0
8,False,6,0,0,2,120.0,6,0.2,24,1.0,3,2,True,6
8,False,2,1,4,2,120.0,6,0.2,24,1.0,3,2,True,2
8,True,0,2,6,2,0.0,6,0.2,24,0.0,3,2,True,0
16,False,12,0,0,2,80.0,12,0.05,4,1.0,4,3,True,12
16,False,6,1,6,2,80.0,12,0.05,4,1.0,4,3,True,6
16,False,2,2,10,2,80.0,12,0.05,4,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.05,4,0.0,4,3,True,0
16,False,12,0,0,2,40.0,12,0.1,4,1.0,4,3,True,12
16,False,6,1,6,2,40.0,12,0.1,4,1.0,4,3,True,6
16,False,2,2,10,2,40.0,12,0.1,4,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.1,4,0.0,4,3,True,0
16,False,12,0,0,2,20.0,12,0.2,4,1.0,4,3,True,12
16,False,6,1,6,2,20.0,12,0.2,4,1.0,4,3,True,6
16,False,2,2,10,2,20.0,12,0.2,4,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.2,4,0.0,4,3,True,0
16,False,12,0,0,2,160.0,12,0.05,8,1.0,4,3,True,12
16,False,6,1,6,2,160.0,12,0.05,8,1.0,4,3,True,6
16,False,2,2,10,2,160.0,12,0.05,8,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.05,8,0.0,4,3,True,0
16,False,12,0,0,2,80.0,12,0.1,8,1.0,4,3,True,12
16,False,6,1,6,2,80.0,12,0.1,8,1.0,4,3,True,6
16,False,2,2,10,2,80.0,12,0.1,8,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.1,8,0.0,4,3,True,0
16,False,12,0,0,2,40.0,12,0.2,8,1.0,4,3,True,12
16,False,6,1,6,2,40.0,12,0.2,8,1.0,4,3,True,6
16,False,2,2,10,2,40.0,12,0.2,8,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.2,8,0.0,4,3,True,0
16,False,12,0,0,2,240.0,12,0.05,12,1.0,4,3,True,12
16,False,6,1,6,2,240.0,12,0.05,12,1.0,4,3,True,6
16,False,2,2,10,2,240.0,12,0.05,12,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.05,12,0.0,4,3,True,0
16,False,12,0,0,2,120.0,12,0.1,12,1.0,4,3,True,12
16,False,6,1,6,2,120.0,12,0.1,12,1.0,4,3,True,6
16,False,2,2,10,2,120.0,12,0.1,12,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.1,12,0.0,4,3,True,0
16,False,12,0,0,2,60.0,12,0.2,12,1.0,4,3,True,12
16,False,6,1,6,2,60.0,12,0.2,12,1.0,4,3,True,6
16,False,2,2,10,2,60.0,12,0.2,12,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.2,12,0.0,4,3,True,0
16,False,12,0,0,2,480.0,12,0.05,24,1.0,4,3,True,12
16,False,6,1,6,2,480.0,12,0.05,24,1.0,4,3,True,6
16,False,2,2,10,2,480.0,12,0.05,24,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.05,24,0.0,4,3,True,0
16,False,12,0,0,2,240.0,12,0.1,24,1.0,4,3,True,12
16,False,6,1,6,2,240.0,12,0.1,24,1.0,4,3,True,6
16,False,2,2,10,2,240.0,12,0.1,24,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.1,24,0.0,4,3,True,0
16,False,12,0,0,2,120.0,12,0.2,24,1.0,4,3,True,12
16,False,6,1,6,2,120.0,12,0.2,24,1.0,4,3,True,6
16,False,2,2,10,2,120.0,12,0.2,24,1.0,4,3,True,2
16,True,0,3,12,2,0.0,12,0.2,24,0.0,4,3,True,0
32,False,20,0,0,2,80.0,20,0.05,4,1.0,5,4,True,20
32,False,12,1,8,2,80.0,20,0.05,4,1.0,5,4,True,12
32,False,6,2,14,2,80.0,20,0.05,4,1.0,5,4,True,6
32,False,2,3,18,2,62.83185307179586,20,0.05,4,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.05,4,0.0,5,4,True,0
32,False,20,0,0,2,40.0,20,0.1,4,1.0,5,4,True,20
32,False,12,1,8,2,40.0,20,0.1,4,1.0,5,4,True,12
32,False,6,2,14,2,40.0,20,0.1,4,1.0,5,4,True,6
32,False,2,3,18,2,31.41592653589793,20,0.1,4,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.1,4,0.0,5,4,True,0
32,False,20,0,0,2,20.0,20,0.2,4,1.0,5,4,True,20
32,False,12,1,8,2,20.0,20,0.2,4,1.0,5,4,True,12
32,False,6,2,14,2,20.0,20,0.2,4,1.0,5,4,True,6
32,False,2,3,18,2,15.707963267948966,20,0.2,4,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.2,4,0.0,5,4,True,0
32,False,20,0,0,2,160.0,20,0.05,8,1.0,5,4,True,20
32,False,12,1,8,2,160.0,20,0.05,8,1.0,5,4,True,12
32,False,6,2,14,2,160.0,20,0.05,8,1.0,5,4,True,6
32,False,2,3,18,2,125.66370614359172,20,0.05,8,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.05,8,0.0,5,4,True,0
32,False,20,0,0,2,80.0,20,0.1,8,1.0,5,4,True,20
32,False,12,1,8,2,80.0,20,0.1,8,1.0,5,4,True,12
32,False,6,2,14,2,80.0,20,0.1,8,1.0,5,4,True,6
32,False,2,3,18,2,62.83185307179586,20,0.1,8,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.1,8,0.0,5,4,True,0
32,False,20,0,0,2,40.0,20,0.2,8,1.0,5,4,True,20
32,False,12,1,8,2,40.0,20,0.2,8,1.0,5,4,True,12
32,False,6,2,14,2,40.0,20,0.2,8,1.0,5,4,True,6
32,False,2,3,18,2,31.41592653589793,20,0.2,8,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.2,8,0.0,5,4,True,0
32,False,20,0,0,2,240.0,20,0.05,12,1.0,5,4,True,20
32,False,12,1,8,2,240.0,20,0.05,12,1.0,5,4,True,12
32,False,6,2,14,2,240.0,20,0.05,12,1.0,5,4,True,6
32,False,2,3,18,2,188.49555921538757,20,0.05,12,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.05,12,0.0,5,4,True,0
32,False,20,0,0,2,120.0,20,0.1,12,1.0,5,4,True,20
32,False,12,1,8,2,120.0,20,0.1,12,1.0,5,4,True,12
32,False,6,2,14,2,120.0,20,0.1,12,1.0,5,4,True,6
32,False,2,3,18,2,94.24777960769379,20,0.1,12,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.1,12,0.0,5,4,True,0
32,False,20,0,0,2,60.0,20,0.2,12,1.0,5,4,True,20
32,False,12,1,8,2,60.0,20,0.2,12,1.0,5,4,True,12
32,False,6,2,14,2,60.0,20,0.2,12,1.0,5,4,True,6
32,False,2,3,18,2,47.12388980384689,20,0.2,12,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.2,12,0.0,5,4,True,0
32,False,20,0,0,2,480.0,20,0.05,24,1.0,5,4,True,20
32,False,12,1,8,2,480.0,20,0.05,24,1.0,5,4,True,12
32,False,6,2,14,2,480.0,20,0.05,24,1.0,5,4,True,6
32,False,2,3,18,2,376.99111843077515,20,0.05,24,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.05,24,0.0,5,4,True,0
32,False,20,0,0,2,240.0,20,0.1,24,1.0,5,4,True,20
32,False,12,1,8,2,240.0,20,0.1,24,1.0,5,4,True,12
32,False,6,2,14,2,240.0,20,0.1,24,1.0,5,4,True,6
32,False,2,3,18,2,188.49555921538757,20,0.1,24,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.1,24,0.0,5,4,True,0
32,False,20,0,0,2,120.0,20,0.2,24,1.0,5,4,True,20
32,False,12,1,8,2,120.0,20,0.2,24,1.0,5,4,True,12
32,False,6,2,14,2,120.0,20,0.2,24,1.0,5,4,True,6
32,False,2,3,18,2,94.24777960769379,20,0.2,24,0.7853981633974483,5,4,True,2
32,True,0,4,20,2,0.0,20,0.2,24,0.0,5,4,True,0
64,False,30,0,0,2,80.0,30,0.05,4,1.0,6,5,True,30
64,False,20,1,10,2,80.0,30,0.05,4,1.0,6,5,True,20
