d,M,m,loss_budget,selected_cutoff,exact_cp,cutoff_cp,cp_saving,two_qubit_saving,dimensionless_ratio,selected_exact
2,8,12,0.05,2,6,6,0,0,0.0,True
2,16,12,0.05,3,12,12,0,0,0.0,True
2,32,12,0.05,4,20,20,0,0,0.0,True
2,64,12,0.05,5,30,30,0,0,0.0,True
2,128,12,0.05,6,42,42,0,0,0.0,True
3,8,12,0.05,2,9,9,0,0,0.0,True
3,16,12,0.05,3,18,18,0,0,0.0,True
3,32,12,0.05,4,30,30,0,0,0.0,True
3,64,12,0.05,5,45,45,0,0,0.0,True
3,128,12,0.05,6,63,63,0,0,0.0,True
4,8,12,0.05,2,12,12,0,0,0.0,True
4,16,12,0.05,3,24,24,0,0,0.0,True
4,32,12,0.05,4,40,40,0,0,0.0,True
4,64,12,0.05,5,60,60,0,0,0.0,True
4,128,12,0.05,6,84,84,0,0,0.0,True
5,8,12,0.05,2,15,15,0,0,0.0,True
5,16,12,0.05,3,30,30,0,0,0.0,True
5,32,12,0.05,4,50,50,0,0,0.0,True
5,64,12,0.05,5,75,75,0,0,0.0,True
5,128,12,0.05,6,105,105,0,0,0.0,True
