N,batch,bounded_spectral_dimension,covariance_effective_rank,covariance_rank,entropy_deficit_from_empirical_max_bits,estimated_signal_energy,instance_class,joint_entropy_bits,mean_pairwise_mutual_information_bits,method,observed_support_size,primary,relation_exists_in_box,relation_separation,seed,selected_relation_rank,shots,top_factor,top_is_relation,top_relation_class,top_yields_factor,total_correlation_bits
169,0,3,2.9826022343097796,3,0.429840234442608,0.15120980618698182,prime_power,6.570159765557392,3.292761848986989,notebook_squared_primes,105,True,0,,20260710,0,128,,0,,0,7.929363502136663
169,1,3,2.962310683569869,3,0.336090234442608,0.20799708096768976,prime_power,6.663909765557392,3.1692165901025775,notebook_squared_primes,108,True,0,,20260711,0,128,,0,,0,7.753773055199394
169,2,3,2.9837933857721493,3,0.470817675831956,0.13299636491543124,prime_power,6.529182324168044,3.3706495261682896,notebook_squared_primes,99,True,0,,20260712,0,128,,0,,0,8.039162716893848
169,3,3,2.976350262299833,3,0.339920117221304,0.11507687013874526,prime_power,6.660079882778696,3.2090920666077847,notebook_squared_primes,107,True,0,,20260713,0,128,,0,,0,7.784150306858418
169,4,3,2.9839653968689253,3,0.4846804688852169,0.22576766939083498,prime_power,6.515319531114783,3.2455146873325007,notebook_squared_primes,101,True,0,,20260714,0,128,,0,,0,7.841733017250818
169,5,3,2.8891133052892823,3,0.4149954334278414,0.2877481442591913,prime_power,6.585004566572159,3.1974621945623465,notebook_squared_primes,104,True,0,,20260715,0,128,,0,,0,7.803209318977552
169,6,3,2.9540135212011447,3,0.361442675831956,0.23073386352277261,prime_power,6.638557324168044,3.2595465816018314,notebook_squared_primes,106,True,0,,20260716,0,128,,0,,0,7.816396862635564
169,7,3,2.9757801698485653,3,0.302772558610652,0.08120799313573655,prime_power,6.697227441389348,3.2907213360429446,notebook_squared_primes,109,True,0,,20260717,0,128,,0,,0,7.984719211011157
169,8,3,2.9522369541167692,3,0.5205405506491463,0.2136156001418397,prime_power,6.479459449350854,3.260238103343361,notebook_squared_primes,101,True,0,,20260718,0,128,,0,,0,7.860479262469164
169,9,3,2.963589787786886,3,0.339920117221304,0.12543610740186203,prime_power,6.660079882778696,3.1438448640422707,notebook_squared_primes,108,True,0,,20260719,0,128,,0,,0,7.747999304024912
169,10,3,2.9648603999521015,3,0.439567675831956,0.21197761688568872,prime_power,6.560432324168044,3.1270677777048523,notebook_squared_primes,102,True,0,,20260720,0,128,,0,,0,7.670841314893366
169,11,3,2.95990030215713,3,0.361442675831956,0.19131918483066088,prime_power,6.638557324168044,3.1081245921658454,notebook_squared_primes,107,True,0,,20260721,0,128,,0,,0,7.655847400191028
169,12,3,2.8927479159005394,3,0.351715234442608,0.22299766576811275,prime_power,6.648284765557392,3.2468735758449694,notebook_squared_primes,109,True,0,,20260722,0,128,,0,,0,7.825197570714195
169,13,3,2.9915573196750107,3,0.48261279305326,0.1472856829873675,prime_power,6.51738720694674,3.335156612860074,notebook_squared_primes,100,True,0,,20260723,0,128,,0,,0,8.001158247438907
169,14,3,2.9894267613677346,3,0.375,0.16799540271409394,prime_power,6.625,3.1568103665165377,notebook_squared_primes,105,True,0,,20260724,0,128,,0,,0,7.767837657228929
169,15,3,2.9612060280981383,3,0.470817675831956,0.18709722105948534,prime_power,6.529182324168044,3.1902447336718986,notebook_squared_primes,101,True,0,,20260725,0,128,,0,,0,7.773029149351318
169,16,3,2.886662916014782,3,0.240272558610652,0.18487346610328975,prime_power,6.759727441389348,3.0796252455452895,notebook_squared_primes,113,True,0,,20260726,0,128,,0,,0,7.58852613785608
169,17,3,2.978310214838357,3,0.414215234442608,0.13939054964962602,prime_power,6.585784765557392,3.150753873346153,notebook_squared_primes,104,True,0,,20260727,0,128,,0,,0,7.705980358862702
169,18,3,2.9248262374918097,3,0.441635351663912,0.18581079425243527,prime_power,6.558364648336088,3.305557984538456,notebook_squared_primes,102,True,0,,20260728,0,128,,0,,0,8.005059242365075
169,19,3,2.9798431973217014,3,0.3740179920384934,0.19335329491726488,prime_power,6.625982007961507,3.189898395911648,notebook_squared_primes,107,True,0,,20260729,0,128,,0,,0,7.751377183592907
169,20,3,2.980572880997856,3,0.502067675831956,0.15272072364178652,prime_power,6.497932324168044,3.1768403737049646,notebook_squared_primes,98,True,0,,20260730,0,128,,0,,0,7.761616212874287
169,21,3,2.9844906633901185,3,0.330192675831956,0.07623520608900838,prime_power,6.669807324168044,3.193676737180612,notebook_squared_primes,108,True,0,,20260731,0,128,,0,,0,7.815714812717658
169,22,3,2.929856456289482,3,0.283317675831956,0.20170691700892757,prime_power,6.716682324168044,3.1805830718970447,notebook_squared_primes,111,True,0,,20260732,0,128,,0,,0,7.742911656689039
169,23,3,2.977902662334296,3,0.38886279305326,0.1174091258977076,prime_power,6.61113720694674,3.210043940644512,notebook_squared_primes,105,True,0,,20260733,0,128,,0,,0,7.861788176524158
169,24,3,2.9527465875890537,3,0.439567675831956,0.12476455562307631,prime_power,6.560432324168044,3.3052103867204856,notebook_squared_primes,102,True,0,,20260734,0,128,,0,,0,7.963017570313546
169,25,3,2.979697965727035,3,0.349647558610652,0.10396576312044835,prime_power,6.650352441389348,3.140856585256946,notebook_squared_primes,107,True,0,,20260735,0,128,,0,,0,7.803458206034216
169,26,3,2.982546107058785,3,0.302772558610652,0.1556025143336057,prime_power,6.697227441389348,3.0931464111392013,notebook_squared_primes,109,True,0,,20260736,0,128,,0,,0,7.585760485739563
169,27,3,2.9858490106363096,3,0.318397558610652,0.11868543335234237,prime_power,6.681602441389348,3.188971548297356,notebook_squared_primes,108,True,0,,20260737,0,128,,0,,0,7.809690867308753
169,28,3,2.9593084137701124,3,0.371170117221304,0.21134418694466367,prime_power,6.628829882778696,3.18301882933949,notebook_squared_primes,105,True,0,,20260738,0,128,,0,,0,7.803167734242052
169,29,3,2.988076141716517,3,0.38886279305326,0.09921845398277597,prime_power,6.61113720694674,3.2189420473507617,notebook_squared_primes,106,True,0,,20260739,0,128,,0,,0,7.919061557278209
169,30,3,2.9593509095502144,3,0.351715234442608,0.1521120248338647,prime_power,6.648284765557392,3.1763136345533893,notebook_squared_primes,107,True,0,,20260740,0,128,,0,,0,7.7569962213682295
169,31,3,2.939914649420123,3,0.392692675831956,0.3748786607081511,prime_power,6.607307324168044,3.1615345571728763,notebook_squared_primes,104,True,0,,20260741,0,128,,0,,0,7.651838884602785
169,32,3,2.9646530687131554,3,0.449295117221304,0.22892521824363113,prime_power,6.550704882778696,3.1464179807885126,notebook_squared_primes,102,True,0,,20260742,0,128,,0,,0,7.708712957434834
169,33,3,2.9616260964810475,3,0.334022558610652,0.29148817340955085,prime_power,6.665977441389348,3.1711525466032993,notebook_squared_primes,107,True,0,,20260743,0,128,,0,,0,7.711716931339826
169,34,3,2.95275771798291,3,0.476715234442608,0.23432692779738373,prime_power,6.523284765557392,3.2355038672403684,notebook_squared_primes,101,True,0,,20260744,0,128,,0,,0,7.778518754192159
169,35,3,2.934314520840283,3,0.426010351663912,0.23550212916872793,prime_power,6.573989648336088,3.3025770070805973,notebook_squared_primes,103,True,0,,20260745,0,128,,0,,0,7.882857442243063
169,36,3,2.9335524408822273,3,0.6455405506491463,0.2766359852880889,prime_power,6.354459449350854,3.402756508141342,notebook_squared_primes,93,True,0,,20260746,0,128,,0,,0,8.005469211562867
169,37,3,2.9832015452344063,3,0.457260351663912,0.27145019689131605,prime_power,6.542739648336088,3.172251360191783,notebook_squared_primes,103,True,0,,20260747,0,128,,0,,0,7.809963026539741
169,38,3,2.9563555406528095,3,0.355545117221304,0.20284904736532303,prime_power,6.644454882778696,3.1451565044551564,notebook_squared_primes,106,True,0,,20260748,0,128,,0,,0,7.749713125713496
169,39,3,2.974783000397514,3,0.472885351663912,0.1796683082596111,prime_power,6.527114648336088,3.2176879694573004,notebook_squared_primes,100,True,0,,20260749,0,128,,0,,0,7.763336385808117
169,40,3,2.971979633928591,3,0.345817675831956,0.2083796914506745,prime_power,6.654182324168044,3.117350334377541,notebook_squared_primes,108,True,0,,20260750,0,128,,0,,0,7.672923987818377
169,41,3,2.956296038730864,3,0.271522558610652,0.16820614695493788,prime_power,6.728477441389348,3.1509036812956928,notebook_squared_primes,111,True,0,,20260751,0,128,,0,,0,7.750131291481683
169,42,3,2.9443036202999084,3,0.386795117221304,0.13226123194299116,prime_power,6.613204882778696,3.0951911284057894,notebook_squared_primes,106,True,0,,20260752,0,128,,0,,0,7.613298899555424
169,43,3,2.9238837454272084,3,0.5302679920384943,0.1761199206146945,prime_power,6.469732007961506,3.2709133910660166,notebook_squared_primes,98,True,0,,20260753,0,128,,0,,0,7.872509576831844
169,44,3,2.9666222495533336,3,0.5361655506491463,0.20046140280878852,prime_power,6.463834449350854,3.3139629276655214,notebook_squared_primes,97,True,0,,20260754,0,128,,0,,0,7.926966340849136
169,45,3,2.821894368439148,3,0.46698779305326,0.2709637030867076,prime_power,6.53301220694674,3.222958010956701,notebook_squared_primes,103,True,0,,20260755,0,128,,0,,0,7.749380619908422
169,46,3,2.973680247102767,3,0.445465234442608,0.10353481314652038,prime_power,6.554534765557392,3.255612293430403,notebook_squared_primes,102,True,0,,20260756,0,128,,0,,0,7.875554110191132
169,47,3,2.991909658741762,3,0.408317675831956,0.09230173029525313,prime_power,6.591682324168044,3.287244789764783,notebook_squared_primes,104,True,0,,20260757,0,128,,0,,0,7.956066891593917
169,48,3,2.9859389157713236,3,0.423942675831956,0.08842713577969656,prime_power,6.576057324168044,3.2941785945812394,notebook_squared_primes,103,True,0,,20260758,0,128,,0,,0,7.955316220020656
169,49,3,2.9650955282345586,3,0.293045117221304,0.2830160598675495,prime_power,6.706954882778696,3.0239980962750383,notebook_squared_primes,111,True,0,,20260759,0,128,,0,,0,7.46897169325603
169,50,3,2.973066512009447,3,0.287147558610652,0.10629497515100016,prime_power,6.712852441389348,3.1266778909553996,notebook_squared_primes,110,True,0,,20260760,0,128,,0,,0,7.717131484769187
169,51,3,2.998277178120265,3,0.351715234442608,0.134297677633002,prime_power,6.648284765557392,3.1801074180046007,notebook_squared_primes,107,True,0,,20260761,0,128,,0,,0,7.740673333953641
