N,amplitude_squared_norm,bases,chi_square_from_parseval_kernel,chi_square_from_probabilities,gaussian_radius_R,joint_entropy_bits,method,model,modulus_D,parseval_absolute_error,probability_sha256,reconstruction_scale,roots,support_size,total_correlation_bits
1927,262144.0,"[4, 9, 25]",168.01111923111603,168.01111923111603,,12.333195884768458,residue_deduplication_only,A_uniform_hard_box,64,0.0,e2429dffa49a5d28192781e93603190c3704b233a410811bf2532a63daa4023e,13,"[2, 3, 5]",262144,5.6668041152315425
1927,1448.1546878630381,"[4, 9, 25]",7.926530971262065,7.926530971262067,16.0,15.469424892738877,residue_deduplication_only,B_exact_gaussian_state,64,1.7763568394002505e-15,3df0be67e9838bce2fd1f18cfddc1fdad4ccf9829f4619ded30cf97cb6f4322c,13,"[2, 3, 5]",262144,2.5305751072611233
1927,262144.0,"[4, 9, 25]",168.01111923111603,168.01111923111603,,12.333195884768458,short_relation_rejection_only,A_uniform_hard_box,64,0.0,e2429dffa49a5d28192781e93603190c3704b233a410811bf2532a63daa4023e,13,"[2, 3, 5]",262144,5.6668041152315425
1927,1448.1546878630381,"[4, 9, 25]",7.926530971262065,7.926530971262067,16.0,15.469424892738877,short_relation_rejection_only,B_exact_gaussian_state,64,1.7763568394002505e-15,3df0be67e9838bce2fd1f18cfddc1fdad4ccf9829f4619ded30cf97cb6f4322c,13,"[2, 3, 5]",262144,2.5305751072611233
1927,262144.0,"[4, 9, 529]",168.0212696926901,168.0212696926901,,12.33341652148248,subgroup_overlap_only,A_uniform_hard_box,64,0.0,d42ffd53f04542af68abc40df333817e0c0dd7dfa2ca2d53dbf4a3bb7a0997ac,13,"[2, 3, 23]",262144,5.66658347851752
1927,1448.1546878630381,"[4, 9, 529]",7.905523822340395,7.905523822340397,16.0,15.501147452675648,subgroup_overlap_only,B_exact_gaussian_state,64,1.7763568394002505e-15,09ab8bb9ee718e2632a5ea15971851c28868104d2cfea5789ae8dab0aeaa6716,13,"[2, 3, 23]",262144,2.4988525473243524
1927,262144.0,"[4, 9, 529]",168.0212696926901,168.0212696926901,,12.33341652148248,complete_selector,A_uniform_hard_box,64,0.0,d42ffd53f04542af68abc40df333817e0c0dd7dfa2ca2d53dbf4a3bb7a0997ac,13,"[2, 3, 23]",262144,5.66658347851752
1927,1448.1546878630381,"[4, 9, 529]",7.905523822340395,7.905523822340397,16.0,15.501147452675648,complete_selector,B_exact_gaussian_state,64,1.7763568394002505e-15,09ab8bb9ee718e2632a5ea15971851c28868104d2cfea5789ae8dab0aeaa6716,13,"[2, 3, 23]",262144,2.4988525473243524
1927,262144.0,"[1369, 289, 529]",168.26656243670732,168.26656243670735,,12.297772539552021,random_coprime_roots,A_uniform_hard_box,64,2.842170943040401e-14,01367a806a3001027d429245a3696b0a04bded8a68fbe450c83277bbce68a0f5,13,"[37, 17, 23]",262144,5.702227460447979
1927,1448.1546878630381,"[1369, 289, 529]",7.906974446768489,7.90697444676849,16.0,15.49712400657226,random_coprime_roots,B_exact_gaussian_state,64,8.881784197001252e-16,4cbfea4864de3319f59e3107ba74be51bba5afe60a4e6f6d944014c02611be33,13,"[37, 17, 23]",262144,2.5028759934277396
