L_minus_L0_candidate_success_rate,N,all_basis_diagnostic_factor_success_rate,claim_prefix_candidate_count_mean,claim_prefix_length_mean,claim_prefix_rejected_nonrelation_rows_mean,factor_success_rate,method,model,trials,valid_L_relation_success_rate
0.0,1927,0.0,0.09375,10.0,9.875,0.0,complete_selector,A_uniform_hard_box,32,0.09375
0.0,1927,0.0,0.28125,10.0,9.71875,0.0,complete_selector,B_exact_gaussian_state,32,0.28125
1.0,1927,1.0,3.0,3.0,0.0,1.0,complete_selector,C_theoretical_noisy_dual,32,1.0
0.03125,1927,0.03125,0.28125,10.0,9.65625,0.03125,random_coprime_roots,A_uniform_hard_box,32,0.28125
0.03125,1927,0.03125,0.125,10.0,9.875,0.03125,random_coprime_roots,B_exact_gaussian_state,32,0.125
0.96875,1927,0.96875,2.9375,3.0,0.0625,0.96875,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.59375,1927,0.59375,0.65625,10.0,9.34375,0.59375,regev_small_prime_roots,A_uniform_hard_box,32,0.65625
0.59375,1927,0.59375,0.59375,10.0,9.375,0.59375,regev_small_prime_roots,B_exact_gaussian_state,32,0.59375
1.0,1927,1.0,3.0,3.0,0.0,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.59375,1927,0.59375,0.6875,10.0,9.3125,0.59375,residue_deduplication_only,A_uniform_hard_box,32,0.625
0.53125,1927,0.53125,0.5625,10.0,9.40625,0.53125,residue_deduplication_only,B_exact_gaussian_state,32,0.53125
0.9375,1927,0.9375,2.875,3.0,0.125,0.9375,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.5,1927,0.5,0.5,10.0,9.46875,0.5,short_relation_rejection_only,A_uniform_hard_box,32,0.5
0.625,1927,0.625,0.65625,10.0,9.3125,0.625,short_relation_rejection_only,B_exact_gaussian_state,32,0.65625
1.0,1927,1.0,3.0,3.0,0.0,1.0,short_relation_rejection_only,C_theoretical_noisy_dual,32,1.0
0.0,1927,0.0,0.15625,10.0,9.84375,0.0,subgroup_overlap_only,A_uniform_hard_box,32,0.15625
0.0,1927,0.0,0.0625,10.0,9.9375,0.0,subgroup_overlap_only,B_exact_gaussian_state,32,0.0625
1.0,1927,1.0,3.0,3.0,0.0,1.0,subgroup_overlap_only,C_theoretical_noisy_dual,32,1.0
0.125,2173,0.125,0.1875,10.0,9.8125,0.125,complete_selector,A_uniform_hard_box,32,0.1875
0.0625,2173,0.0625,0.0625,10.0,9.9375,0.0625,complete_selector,B_exact_gaussian_state,32,0.0625
0.96875,2173,0.96875,2.9375,3.0,0.0625,0.96875,complete_selector,C_theoretical_noisy_dual,32,1.0
1.0,2173,1.0,1.71875,10.0,8.1875,1.0,random_coprime_roots,A_uniform_hard_box,32,1.0
1.0,2173,1.0,1.75,10.0,8.21875,1.0,random_coprime_roots,B_exact_gaussian_state,32,1.0
1.0,2173,1.0,3.0,3.0,0.0,1.0,random_coprime_roots,C_theoretical_noisy_dual,32,1.0
0.75,2173,0.75,0.75,10.0,9.25,0.75,regev_small_prime_roots,A_uniform_hard_box,32,0.75
0.84375,2173,0.84375,0.84375,10.0,9.15625,0.84375,regev_small_prime_roots,B_exact_gaussian_state,32,0.84375
1.0,2173,1.0,2.9375,3.0,0.0625,1.0,regev_small_prime_roots,C_theoretical_noisy_dual,32,1.0
0.78125,2173,0.78125,0.78125,10.0,9.1875,0.78125,residue_deduplication_only,A_uniform_hard_box,32,0.78125
0.78125,2173,0.78125,0.78125,10.0,9.21875,0.78125,residue_deduplication_only,B_exact_gaussian_state,32,0.78125
1.0,2173,1.0,2.9375,3.0,0.0625,1.0,residue_deduplication_only,C_theoretical_noisy_dual,32,1.0
0.71875,2173,0.71875,0.71875,10.0,9.28125,0.71875,short_relation_rejection_only,A_uniform_hard_box,32,0.71875
0.75,2173,0.75,0.75,10.0,9.21875,0.75,short_relation_rejection_only,B_exact_gaussian_state,32,0.75
