N,base,compiled_cx,controlled_phase,cphase_gain,cphase_sigma,cutoff,cx_depolarizing_probability,depolarizing_mixing,distribution_certified,distribution_m_shot_bound,distribution_tv,exact_factor_acceptance_mass,exact_order_acceptance_mass,hellinger_affinity,hellinger_certified,hellinger_product_bound,instance_id,known_factors_used,known_order_used_by_decoder,loss_budget,noise_axis,noise_setting,noisy_factor_acceptance_mass,noisy_order_acceptance_mass,phase_modulus,phase_qubits,rz_bias,rz_sigma,shots,stochastic_setting,worst_case_certified,worst_case_m_shot_bound
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.8307307756478944,0.8307307756478944,1.0,True,0.0,35:2,False,False,0.05,baseline,baseline,0.8307307756478944,0.8307307756478944,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.8307307756478944,0.8307307756478944,1.0,True,0.0,35:2,False,False,0.05,baseline,baseline,0.8307307756478944,0.8307307756478944,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.8307307756478944,0.8307307756478944,1.0,True,0.0,35:2,False,False,0.05,baseline,baseline,0.8307307756478944,0.8307307756478944,4096,12,0.0,0.0,8,False,True,0.0
35,2,150,66,0.0,0.0,11,0.0,1.0,True,0.0,0.0,0.8307307756478944,0.8307307756478944,1.0,True,0.0,35:2,False,False,0.05,baseline,baseline,0.8307307756478944,0.8307307756478944,4096,12,0.0,0.0,16,False,True,0.0
35,2,150,66,0.02,0.0,11,0.0,1.0,True,0.010505993102561163,0.010505993102561163,0.8307307756478944,0.8307307756478944,0.9993878038644337,True,0.03498596128483773,35:2,False,False,0.05,controlled_phase,cphase_gain_0p02,0.8301963833550681,0.8301963833550681,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.02,0.0,11,0.0,1.0,True,0.021011986205122325,0.010505993102561163,0.8307307756478944,0.8307307756478944,0.9993878038644337,True,0.049462478256146435,35:2,False,False,0.05,controlled_phase,cphase_gain_0p02,0.8301963833550681,0.8301963833550681,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.02,0.0,11,0.0,1.0,False,0.0840479448204893,0.010505993102561163,0.8307307756478944,0.8307307756478944,0.9993878038644337,False,0.0987435684384512,35:2,False,False,0.05,controlled_phase,cphase_gain_0p02,0.8301963833550681,0.8301963833550681,4096,12,0.0,0.0,8,False,True,0.0
35,2,150,66,0.02,0.0,11,0.0,1.0,False,0.1680958896409786,0.010505993102561163,0.8307307756478944,0.8307307756478944,0.9993878038644337,False,0.13930368414305286,35:2,False,False,0.05,controlled_phase,cphase_gain_0p02,0.8301963833550681,0.8301963833550681,4096,12,0.0,0.0,16,False,True,0.0
35,2,150,66,0.05,0.0,11,0.0,1.0,True,0.027686572907683178,0.027686572907683178,0.8307307756478944,0.8307307756478944,0.995982369116142,False,0.08954954165040166,35:2,False,False,0.05,controlled_phase,cphase_gain_0p05,0.8280090140829846,0.8280090140829846,4096,12,0.0,0.0,1,False,True,0.0
35,2,150,66,0.05,0.0,11,0.0,1.0,False,0.055373145815366356,0.027686572907683178,0.8307307756478944,0.8307307756478944,0.995982369116142,False,0.1263880315830863,35:2,False,False,0.05,controlled_phase,cphase_gain_0p05,0.8280090140829846,0.8280090140829846,4096,12,0.0,0.0,2,False,True,0.0
35,2,150,66,0.05,0.0,11,0.0,1.0,False,0.22149258326146543,0.027686572907683178,0.8307307756478944,0.8307307756478944,0.995982369116142,False,0.24976184166386228,35:2,False,False,0.05,controlled_phase,cphase_gain_0p05,0.8280090140829846,0.8280090140829846,4096,12,0.0,0.0,8,False,True,0.0
35,2,150,66,0.05,0.0,11,0.0,1.0,False,0.44298516652293085,0.027686572907683178,0.8307307756478944,0.8307307756478944,0.995982369116142,False,0.3476644484878912,35:2,False,False,0.05,controlled_phase,cphase_gain_0p05,0.8280090140829846,0.8280090140829846,4096,12,0.0,0.0,16,False,True,0.0
35,2,150,66,0.1,0.0,11,0.0,1.0,False,0.05973790583236654,0.05973790583236654,0.8307307756478944,0.8307307756478944,0.9844448859280059,False,0.1756936725388691,35:2,False,False,0.05,controlled_phase,cphase_gain_0p10,0.8208263743223764,0.8208263743223764,4096,12,0.0,0.0,1,False,True,0.0
