factor_mean_difference,factor_min_difference,instances,noise_axis,noise_setting,noninferior_at_0_10,order_mean_difference,order_min_difference,shots
-0.026041666666666657,-0.125,8,controlled_phase,cphase_gain_0p02,False,-0.036458333333333315,-0.125,1
-0.015625,-0.10416666666666663,8,controlled_phase,cphase_gain_0p05,False,-0.062499999999999986,-0.20833333333333326,1
-0.010416666666666657,-0.1875,8,controlled_phase,cphase_gain_0p10,False,-0.036458333333333315,-0.1875,1
0.0234375,-0.08333333333333337,8,controlled_phase,cphase_sigma_0p02,False,-0.0078125,-0.14583333333333337,1
-0.01822916666666667,-0.125,8,controlled_phase,cphase_sigma_0p05,False,-0.0234375,-0.125,1
-0.0026041666666666713,-0.10416666666666663,8,controlled_phase,cphase_sigma_0p10,False,-0.010416666666666671,-0.10416666666666663,1
-0.03385416666666666,-0.16666666666666663,8,cx_depolarizing,cx_depol_0p001,False,-0.03645833333333333,-0.16666666666666663,1
-0.10677083333333333,-0.3125,8,cx_depolarizing,cx_depol_0p005,False,-0.09114583333333333,-0.3125,1
-0.14583333333333331,-0.3541666666666667,8,cx_depolarizing,cx_depol_0p010,False,-0.12239583333333331,-0.3541666666666667,1
-0.015624999999999986,-0.1875,8,rz_rotation,rz_bias_0p02,False,-0.023437499999999986,-0.1875,1
-0.02083333333333333,-0.10416666666666663,8,rz_rotation,rz_bias_0p05,False,-0.046875,-0.125,1
0.023437500000000014,-0.0625,8,rz_rotation,rz_bias_0p10,False,-0.005208333333333315,-0.16666666666666663,1
0.015625000000000014,-0.16666666666666663,8,rz_rotation,rz_sigma_0p02,False,0.002604166666666685,-0.16666666666666663,1
0.0,-0.08333333333333337,8,rz_rotation,rz_sigma_0p05,True,0.0,-0.08333333333333337,1
0.010416666666666671,-0.14583333333333337,8,rz_rotation,rz_sigma_0p10,False,-0.023437499999999986,-0.1875,1
-2.7755575615628914e-17,-0.04166666666666663,8,controlled_phase,cphase_gain_0p02,True,0.007812499999999972,-0.04166666666666663,2
-0.002604166666666685,-0.04166666666666674,8,controlled_phase,cphase_gain_0p05,True,0.005208333333333315,-0.04166666666666674,2
-0.007812500000000014,-0.04166666666666663,8,controlled_phase,cphase_gain_0p10,True,-0.015625000000000028,-0.08333333333333337,2
0.0026041666666666574,-0.04166666666666663,8,controlled_phase,cphase_sigma_0p02,True,0.013020833333333315,-0.04166666666666663,2
-0.010416666666666685,-0.0625,8,controlled_phase,cphase_sigma_0p05,True,0.005208333333333315,-0.0625,2
-0.013020833333333356,-0.0625,8,controlled_phase,cphase_sigma_0p10,True,-0.010416666666666699,-0.0625,2
-0.0078125,-0.04166666666666663,8,cx_depolarizing,cx_depol_0p001,True,0.0026041666666666574,-0.04166666666666663,2
-0.06510416666666669,-0.16666666666666674,8,cx_depolarizing,cx_depol_0p005,False,-0.03125000000000003,-0.16666666666666674,2
-0.10156250000000001,-0.29166666666666674,8,cx_depolarizing,cx_depol_0p010,False,-0.07031250000000001,-0.29166666666666674,2
-1.3877787807814457e-17,-0.0625,8,rz_rotation,rz_bias_0p02,True,-2.7755575615628914e-17,-0.0625,2
0.0026041666666666435,-0.04166666666666674,8,rz_rotation,rz_bias_0p05,True,0.013020833333333301,-0.04166666666666674,2
-0.002604166666666685,-0.08333333333333337,8,rz_rotation,rz_bias_0p10,True,-2.7755575615628914e-17,-0.08333333333333337,2
-0.013020833333333343,-0.04166666666666663,8,rz_rotation,rz_sigma_0p02,True,0.007812499999999986,-0.04166666666666663,2
-0.0052083333333333565,-0.04166666666666674,8,rz_rotation,rz_sigma_0p05,True,0.010416666666666644,-0.04166666666666674,2
-1.3877787807814457e-17,-0.0625,8,rz_rotation,rz_sigma_0p10,True,0.010416666666666657,-0.0625,2
0.0,0.0,8,controlled_phase,cphase_gain_0p02,True,0.0,0.0,8
0.0,0.0,8,controlled_phase,cphase_gain_0p05,True,0.0,0.0,8
0.0,0.0,8,controlled_phase,cphase_gain_0p10,True,0.0,0.0,8
0.0,0.0,8,controlled_phase,cphase_sigma_0p02,True,0.0,0.0,8
0.0,0.0,8,controlled_phase,cphase_sigma_0p05,True,-0.0026041666666666713,-0.02083333333333337,8
0.0,0.0,8,controlled_phase,cphase_sigma_0p10,True,0.0,0.0,8
0.0,0.0,8,cx_depolarizing,cx_depol_0p001,True,0.0,0.0,8
0.0,0.0,8,cx_depolarizing,cx_depol_0p005,True,0.0,0.0,8
0.0,0.0,8,cx_depolarizing,cx_depol_0p010,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_bias_0p02,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_bias_0p05,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_bias_0p10,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_sigma_0p02,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_sigma_0p05,True,0.0,0.0,8
0.0,0.0,8,rz_rotation,rz_sigma_0p10,True,0.0,0.0,8
0.0,0.0,8,controlled_phase,cphase_gain_0p02,True,0.0,0.0,16
0.0,0.0,8,controlled_phase,cphase_gain_0p05,True,0.0,0.0,16
