N,base,cutoff,factor_pair,factor_success,factors_used_only_posthoc,failure_counts,instance_id,noise_axis,noise_setting,order_success,realization,runtime_seconds,shot_seed,shots,stochastic_setting
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,0,0.0006740410026395693,2326072501,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,0,4.8834001063369215e-05,2326073501,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,0,6.170899723656476e-05,2326079501,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 2}",35:2,baseline,baseline,True,0,7.19159870641306e-05,2326087501,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,1,3.1916002626530826e-05,2326072502,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,1,3.64580046152696e-05,2326073502,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,1,5.170800432097167e-05,2326079502,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 2}",35:2,baseline,baseline,True,1,7.154200284276158e-05,2326087502,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,2,3.0750001315027475e-05,2326072503,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,2,3.0499999411404133e-05,2326073503,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,2,4.883299698121846e-05,2326079503,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,2,8.062500273808837e-05,2326087503,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,3,3.258399374317378e-05,2326072504,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,3,3.89580090995878e-05,2326073504,2,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,3,5.099999543745071e-05,2326079504,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 4, ""zero_phase"": 2}",35:2,baseline,baseline,True,3,6.283300172071904e-05,2326087504,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,4,2.941599814221263e-05,2326072505,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,4,3.658400964923203e-05,2326073505,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,4,5.208299262449145e-05,2326079505,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,4,7.179200474638492e-05,2326087505,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,5,3.562499477993697e-05,2326072506,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,5,3.283401019871235e-05,2326073506,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,baseline,baseline,True,5,4.641700070351362e-05,2326079506,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 2}",35:2,baseline,baseline,True,5,6.72089954605326e-05,2326087506,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,6,2.9791990527883172e-05,2326072507,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,6,3.283299156464636e-05,2326073507,2,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,6,5.1000009989365935e-05,2326079507,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 3, ""zero_phase"": 1}",35:2,baseline,baseline,True,6,6.791600026190281e-05,2326087507,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,7,2.9165996238589287e-05,2326072508,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,7,3.104099596384913e-05,2326073508,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,7,4.7958994400687516e-05,2326079508,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 4, ""zero_phase"": 1}",35:2,baseline,baseline,True,7,6.354101060424e-05,2326087508,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,8,2.920899714808911e-05,2326072509,1,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,8,2.9916001949459314e-05,2326073509,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,baseline,baseline,True,8,4.7291003284044564e-05,2326079509,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,8,7.058300252538174e-05,2326087509,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,9,2.925000444520265e-05,2326072510,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,9,2.9457994969561696e-05,2326073510,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,9,4.533398896455765e-05,2326079510,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2, ""zero_phase"": 2}",35:2,baseline,baseline,True,9,6.554200081154704e-05,2326087510,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,10,2.89169984171167e-05,2326072511,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,10,2.925000444520265e-05,2326073511,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,10,4.4665997847914696e-05,2326079511,8,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 3}",35:2,baseline,baseline,True,10,7.308300700969994e-05,2326087511,16,False
35,2,11,,False,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,False,11,2.870798925869167e-05,2326072512,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,11,3.170799755025655e-05,2326073512,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,11,4.512500890996307e-05,2326079512,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,11,7.479199848603457e-05,2326087512,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,12,3.024999750778079e-05,2326072513,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,12,3.287500294391066e-05,2326073513,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 2}",35:2,baseline,baseline,True,12,4.587500006891787e-05,2326079513,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 3, ""zero_phase"": 2}",35:2,baseline,baseline,True,12,6.645800021942705e-05,2326087513,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,13,3.087500226683915e-05,2326072514,1,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,13,3.087500226683915e-05,2326073514,2,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,13,4.8874993808567524e-05,2326079514,8,False
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,baseline,baseline,True,13,6.904199835844338e-05,2326087514,16,False
35,2,11,"[5, 7]",True,True,{},35:2,baseline,baseline,True,14,3.095800639130175e-05,2326072515,1,False
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,baseline,baseline,True,14,4.170800093561411e-05,2326073515,2,False
