algorithm,algorithm_is_shor,controlled_phase_saving,decoder_boundary_proxy,instance_id,measured_tv,noninferior,omitted_layers,register_bits,shots,split,task_difference,worst_case_certified
Shor,1.0,1.0,0.0,15:2,0.0,True,1.0,8.0,1.0,development,0.0,False
Shor,1.0,1.0,0.0,15:2,0.0,True,1.0,8.0,4.0,development,0.0,False
Shor,1.0,1.0,0.0,15:2,0.0,True,1.0,8.0,8.0,development,0.0,False
Shor,1.0,3.0,0.0,15:2,0.0,True,2.0,8.0,1.0,development,0.0,False
Shor,1.0,3.0,0.0,15:2,0.0,True,2.0,8.0,4.0,development,0.0,False
Shor,1.0,3.0,0.0,15:2,0.0,True,2.0,8.0,8.0,development,0.0,False
Shor,1.0,6.0,0.0,15:2,0.0,True,3.0,8.0,1.0,development,0.0,False
Shor,1.0,6.0,0.0,15:2,0.0,True,3.0,8.0,4.0,development,0.0,False
Shor,1.0,6.0,0.0,15:2,0.0,True,3.0,8.0,8.0,development,0.0,False
Shor,1.0,10.0,0.0,15:2,0.0,True,4.0,8.0,1.0,development,0.0,False
Shor,1.0,10.0,0.0,15:2,0.0,True,4.0,8.0,4.0,development,0.0,False
Shor,1.0,10.0,0.0,15:2,0.0,True,4.0,8.0,8.0,development,0.0,False
Shor,1.0,15.0,0.0,15:2,0.0,True,5.0,8.0,1.0,development,0.0,False
Shor,1.0,15.0,0.0,15:2,0.0,True,5.0,8.0,4.0,development,0.0,False
Shor,1.0,15.0,0.0,15:2,0.0,True,5.0,8.0,8.0,development,0.0,False
Shor,1.0,21.0,0.0,15:2,0.0,True,6.0,8.0,1.0,development,0.0,False
Shor,1.0,21.0,0.0,15:2,0.0,True,6.0,8.0,4.0,development,0.0,False
Shor,1.0,21.0,0.0,15:2,0.0,True,6.0,8.0,8.0,development,0.0,False
Shor,1.0,28.0,0.0,15:2,0.0,True,7.0,8.0,1.0,development,0.0,False
Shor,1.0,28.0,0.0,15:2,0.0,True,7.0,8.0,4.0,development,0.0,False
Shor,1.0,28.0,0.0,15:2,0.0,True,7.0,8.0,8.0,development,0.0,False
Shor,1.0,1.0,0.0,15:14,0.0,True,1.0,8.0,1.0,development,0,False
Shor,1.0,1.0,0.0,15:14,0.0,True,1.0,8.0,4.0,development,0,False
Shor,1.0,1.0,0.0,15:14,0.0,True,1.0,8.0,8.0,development,0,False
Shor,1.0,3.0,0.0,15:14,0.0,True,2.0,8.0,1.0,development,0,False
Shor,1.0,3.0,0.0,15:14,0.0,True,2.0,8.0,4.0,development,0,False
Shor,1.0,3.0,0.0,15:14,0.0,True,2.0,8.0,8.0,development,0,False
Shor,1.0,6.0,0.0,15:14,0.0,True,3.0,8.0,1.0,development,0,False
Shor,1.0,6.0,0.0,15:14,0.0,True,3.0,8.0,4.0,development,0,False
Shor,1.0,6.0,0.0,15:14,0.0,True,3.0,8.0,8.0,development,0,False
Shor,1.0,10.0,0.0,15:14,0.0,True,4.0,8.0,1.0,development,0,False
Shor,1.0,10.0,0.0,15:14,0.0,True,4.0,8.0,4.0,development,0,False
Shor,1.0,10.0,0.0,15:14,0.0,True,4.0,8.0,8.0,development,0,False
Shor,1.0,15.0,0.0,15:14,0.0,True,5.0,8.0,1.0,development,0,False
Shor,1.0,15.0,0.0,15:14,0.0,True,5.0,8.0,4.0,development,0,False
Shor,1.0,15.0,0.0,15:14,0.0,True,5.0,8.0,8.0,development,0,False
Shor,1.0,21.0,0.0,15:14,0.0,True,6.0,8.0,1.0,development,0,False
Shor,1.0,21.0,0.0,15:14,0.0,True,6.0,8.0,4.0,development,0,False
Shor,1.0,21.0,0.0,15:14,0.0,True,6.0,8.0,8.0,development,0,False
Shor,1.0,28.0,0.0,15:14,0.0,True,7.0,8.0,1.0,development,0,False
Shor,1.0,28.0,0.0,15:14,0.0,True,7.0,8.0,4.0,development,0,False
Shor,1.0,28.0,0.0,15:14,0.0,True,7.0,8.0,8.0,development,0,False
Shor,1.0,1.0,8.573836898697479e-17,21:2,4.4587602585229556e-17,True,1.0,10.0,1.0,development,-1.1102230246251565e-16,False
Shor,1.0,1.0,8.573836898697479e-17,21:2,4.4587602585229556e-17,True,1.0,10.0,4.0,development,0.0,False
Shor,1.0,1.0,8.573836898697479e-17,21:2,4.4587602585229556e-17,True,1.0,10.0,8.0,development,0.0,False
Shor,1.0,3.0,5.698283787738689e-05,21:2,3.211112417940492e-05,True,2.0,10.0,1.0,development,-1.0702750019575547e-07,False
Shor,1.0,3.0,5.698283787738689e-05,21:2,3.211112417940492e-05,True,2.0,10.0,4.0,development,-2.045507208059405e-09,False
Shor,1.0,3.0,5.698283787738689e-05,21:2,3.211112417940492e-05,True,2.0,10.0,8.0,development,-3.2921443349209767e-12,False
Shor,1.0,6.0,0.00042569557800699803,21:2,0.0002511254556895165,True,3.0,10.0,1.0,development,-1.9536618703797082e-05,False
Shor,1.0,6.0,0.00042569557800699803,21:2,0.0002511254556895165,True,3.0,10.0,4.0,development,-3.7344803782701774e-07,False
Shor,1.0,6.0,0.00042569557800699803,21:2,0.0002511254556895165,True,3.0,10.0,8.0,development,-6.012030873137064e-10,False
Shor,1.0,10.0,0.002414150268530392,21:2,0.001426446574487462,True,4.0,10.0,1.0,development,-0.0001164831152694612,False
Shor,1.0,10.0,0.002414150268530392,21:2,0.001426446574487462,True,4.0,10.0,4.0,development,-2.2285311036540634e-06,False
Shor,1.0,10.0,0.002414150268530392,21:2,0.001426446574487462,True,4.0,10.0,8.0,development,-3.5917815388586405e-09,False
Shor,1.0,15.0,0.012509373371680394,21:2,0.007185070827307216,True,5.0,10.0,1.0,development,-0.0010484694771496494,False
