algorithm,instance_id,method,omitted_layers,predicted_noninferior,probability,shots,task_difference,truth_noninferior
Regev,55:B_exact_finite_discrete_gaussian:M16,factor_blind_logistic,3.0,False,0.39775596498400645,7.0,-0.0625,True
Regev,55:A_uniform_hard_box:M32,factor_blind_logistic,2.0,True,0.6920226935886821,7.0,-0.203125,False
Regev,55:B_exact_finite_discrete_gaussian:M32,factor_blind_logistic,3.0,True,0.5503388127711087,7.0,-0.140625,False
Regev,65:B_exact_finite_discrete_gaussian:M8,factor_blind_logistic,2.0,True,0.5429632934869786,7.0,-0.234375,False
Regev,65:A_uniform_hard_box:M16,factor_blind_logistic,2.0,True,0.6201867100303043,7.0,-0.1875,False
Regev,65:B_exact_finite_discrete_gaussian:M16,factor_blind_logistic,2.0,True,0.6682769812046283,7.0,-0.125,False
Regev,65:A_uniform_hard_box:M32,factor_blind_logistic,3.0,True,0.5357571988710498,7.0,-0.328125,False
Regev,65:B_exact_finite_discrete_gaussian:M32,factor_blind_logistic,3.0,True,0.5984831676396396,7.0,-0.203125,False
Regev,95:A_uniform_hard_box:M8,factor_blind_logistic,2.0,False,0.42935353256428554,7.0,0.0,True
Regev,95:A_uniform_hard_box:M16,factor_blind_logistic,3.0,False,0.20727445625809565,7.0,0.0,True
Regev,95:A_uniform_hard_box:M16,factor_blind_logistic,2.0,False,0.49350762594036535,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,factor_blind_logistic,4.0,False,0.13672433835442835,7.0,0.0,True
Regev,95:A_uniform_hard_box:M32,factor_blind_logistic,3.0,False,0.35668680041661,7.0,0.0,True
Regev,115:B_exact_finite_discrete_gaussian:M8,factor_blind_logistic,2.0,False,0.49553077670540546,7.0,-0.0625,True
Regev,115:B_exact_finite_discrete_gaussian:M16,factor_blind_logistic,3.0,True,0.5274243826232831,7.0,-0.125,False
Regev,115:B_exact_finite_discrete_gaussian:M16,factor_blind_logistic,2.0,True,0.6283161652693217,7.0,-0.109375,False
Regev,115:A_uniform_hard_box:M32,factor_blind_logistic,2.0,True,0.6930311788524548,7.0,-0.15625,False
Regev,119:A_uniform_hard_box:M8,factor_blind_logistic,2.0,False,0.49792268834749387,7.0,0.0,True
Regev,119:A_uniform_hard_box:M16,factor_blind_logistic,3.0,False,0.3373780273666425,7.0,0.0,True
Regev,119:A_uniform_hard_box:M32,factor_blind_logistic,4.0,False,0.24306258567085204,7.0,0.0,True
Regev,133:A_uniform_hard_box:M8,factor_blind_logistic,2.0,False,0.4405247965694638,7.0,0.0,True
Regev,133:A_uniform_hard_box:M16,factor_blind_logistic,3.0,False,0.22068467305545017,7.0,0.0,True
Regev,133:A_uniform_hard_box:M16,factor_blind_logistic,2.0,False,0.48626322986126536,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,factor_blind_logistic,4.0,False,0.1323040814819077,7.0,0.0,True
Regev,133:A_uniform_hard_box:M32,factor_blind_logistic,3.0,False,0.3660588549563364,7.0,0.0,True
Regev,161:A_uniform_hard_box:M16,factor_blind_logistic,3.0,False,0.2549174688687223,7.0,0.0,True
Regev,161:A_uniform_hard_box:M32,factor_blind_logistic,4.0,False,0.15593564915380595,7.0,0.0,True
Regev,161:A_uniform_hard_box:M32,factor_blind_logistic,3.0,False,0.4152364063984775,7.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,35:11,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,35:11,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,8.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,8.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,35:2,worst_case_certificate,2.0,False,0.0,16.0,0.0,True
Shor,35:2,worst_case_certificate,3.0,False,0.0,16.0,0.0,True
Shor,39:2,worst_case_certificate,2.0,False,0.0,4.0,0.0,True
Shor,39:2,worst_case_certificate,3.0,False,0.0,4.0,0.0,True
