algorithm,algorithm_is_shor,controlled_phase_saving,decoder_boundary_proxy,instance_id,measured_tv,noninferior,omitted_layers,register_bits,shots,split,task_difference,worst_case_certified
Shor,1.0,1.0,8.64228815425133e-07,35:11,6.253784969424323e-07,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,7.139306652183914e-06,35:11,4.7912663381128534e-06,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,4.28388622962413e-05,35:11,2.6622014808018347e-05,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,7.93452031970487e-07,35:11,5.760370579414421e-07,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,6.532228644186818e-06,35:11,4.411190072121344e-06,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,3.9009079703194706e-05,35:11,2.448632209605102e-05,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,8.64228815425133e-07,35:11,6.253784969424323e-07,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,7.139306652183914e-06,35:11,4.7912663381128534e-06,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,4.28388622962413e-05,35:11,2.6622014808018347e-05,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,7.93452031970487e-07,35:11,5.760370579414421e-07,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,6.532228644186818e-06,35:11,4.411190072121344e-06,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,3.9009079703194706e-05,35:11,2.448632209605102e-05,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,8.64228815425133e-07,35:11,6.253784969424323e-07,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,7.139306652183914e-06,35:11,4.7912663381128534e-06,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,4.28388622962413e-05,35:11,2.6622014808018347e-05,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,7.93452031970487e-07,35:11,5.760370579414421e-07,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,6.532228644186818e-06,35:11,4.411190072121344e-06,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,3.9009079703194706e-05,35:11,2.448632209605102e-05,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,5.766290608485937e-17,35:2,2.9907277529671245e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,6.000280813186977e-17,35:2,3.1606531500981785e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.4342360894674558e-05,35:2,8.68223414551327e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,6.24788177855921e-17,35:2,3.3657754131656076e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,6.345737906768723e-17,35:2,3.412566042567528e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.3181902066914495e-05,35:2,8.042904418475743e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,5.766290608485937e-17,35:2,2.9907277529671245e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,6.000280813186977e-17,35:2,3.1606531500981785e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.4342360894674558e-05,35:2,8.68223414551327e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,6.24788177855921e-17,35:2,3.3657754131656076e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,6.345737906768723e-17,35:2,3.412566042567528e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.3181902066914495e-05,35:2,8.042904418475743e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,5.766290608485937e-17,35:2,2.9907277529671245e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,6.000280813186977e-17,35:2,3.1606531500981785e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.4342360894674558e-05,35:2,8.68223414551327e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,6.24788177855921e-17,35:2,3.3657754131656076e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,6.345737906768723e-17,35:2,3.412566042567528e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.3181902066914495e-05,35:2,8.042904418475743e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,5.770846057555389e-17,39:2,2.9907277529671245e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,6.010987839035864e-17,39:2,3.1606531500981785e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.4693779312057987e-05,39:2,8.68223414551327e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,6.277927625385096e-17,39:2,3.3657754131656076e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,6.379304234281635e-17,39:2,3.412566042567528e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.3520667366264884e-05,39:2,8.042904418475743e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,5.770846057555389e-17,39:2,2.9907277529671245e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,6.010987839035864e-17,39:2,3.1606531500981785e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.4693779312057987e-05,39:2,8.68223414551327e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,6.277927625385096e-17,39:2,3.3657754131656076e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,6.379304234281635e-17,39:2,3.412566042567528e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.3520667366264884e-05,39:2,8.042904418475743e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,5.770846057555389e-17,39:2,2.9907277529671245e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,6.010987839035864e-17,39:2,3.1606531500981785e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.4693779312057987e-05,39:2,8.68223414551327e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,6.277927625385096e-17,39:2,3.3657754131656076e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,6.379304234281635e-17,39:2,3.412566042567528e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.3520667366264884e-05,39:2,8.042904418475743e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,0.0,51:2,0.0,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,0.0,51:2,0.0,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,0.0,51:2,0.0,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,5.0561805371552935e-17,55:2,2.566552181827893e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,9.918276709337065e-17,55:2,5.776695878847364e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.5611598856846108e-05,55:2,8.40632388706534e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,7.653728830896774e-17,55:2,4.684108080184042e-17,True,1.0,12.0,4.0,heldout,0.0,True
Shor,1.0,3.0,1.22692484181769e-16,55:2,7.042946607521499e-17,True,2.0,12.0,4.0,heldout,0.0,False
Shor,1.0,6.0,1.4411459908545868e-05,55:2,7.768154582811772e-06,True,3.0,12.0,4.0,heldout,0.0,False
Shor,1.0,1.0,5.0561805371552935e-17,55:2,2.566552181827893e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,9.918276709337065e-17,55:2,5.776695878847364e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.5611598856846108e-05,55:2,8.40632388706534e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,7.653728830896774e-17,55:2,4.684108080184042e-17,True,1.0,12.0,8.0,heldout,0.0,True
Shor,1.0,3.0,1.22692484181769e-16,55:2,7.042946607521499e-17,True,2.0,12.0,8.0,heldout,0.0,False
Shor,1.0,6.0,1.4411459908545868e-05,55:2,7.768154582811772e-06,True,3.0,12.0,8.0,heldout,0.0,False
Shor,1.0,1.0,5.0561805371552935e-17,55:2,2.566552181827893e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,9.918276709337065e-17,55:2,5.776695878847364e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.5611598856846108e-05,55:2,8.40632388706534e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,7.653728830896774e-17,55:2,4.684108080184042e-17,True,1.0,12.0,16.0,heldout,0.0,True
Shor,1.0,3.0,1.22692484181769e-16,55:2,7.042946607521499e-17,True,2.0,12.0,16.0,heldout,0.0,False
Shor,1.0,6.0,1.4411459908545868e-05,55:2,7.768154582811772e-06,True,3.0,12.0,16.0,heldout,0.0,False
Shor,1.0,1.0,1.8868469537089842e-18,65:3,1.667657326272233e-18,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,1.3424374710743923e-16,65:3,8.768164620207214e-17,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,8.882672426609922e-07,65:3,6.253784970195182e-07,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,2.0117115215350892e-18,65:3,1.6563299149639317e-18,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,3.153440466028961e-17,65:3,1.930622840650393e-17,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,8.093499514453884e-07,65:3,5.760370580167457e-07,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,1.8868469537089842e-18,65:3,1.667657326272233e-18,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,1.3424374710743923e-16,65:3,8.768164620207214e-17,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,8.882672426609922e-07,65:3,6.253784970195182e-07,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,2.0117115215350892e-18,65:3,1.6563299149639317e-18,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,3.153440466028961e-17,65:3,1.930622840650393e-17,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,8.093499514453884e-07,65:3,5.760370580167457e-07,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,1.8868469537089842e-18,65:3,1.667657326272233e-18,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,1.3424374710743923e-16,65:3,8.768164620207214e-17,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,8.882672426609922e-07,65:3,6.253784970195182e-07,True,3.0,14.0,16.0,heldout,0.0,False
Shor,1.0,1.0,2.0117115215350892e-18,65:3,1.6563299149639317e-18,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,3.153440466028961e-17,65:3,1.930622840650393e-17,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,8.093499514453884e-07,65:3,5.760370580167457e-07,True,3.0,14.0,16.0,heldout,0.0,False
Shor,1.0,1.0,1.1591212605970242e-16,77:8,7.496983895082263e-17,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,2.434959323377739e-07,77:8,1.622780650629361e-07,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,2.196468349703413e-06,77:8,1.3423054377136756e-06,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,1.1867593666395035e-16,77:8,8.113701966533219e-17,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,2.2346390880163027e-07,77:8,1.492691112653117e-07,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,2.0078421378471095e-06,77:8,1.2398591639804431e-06,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,1.1591212605970242e-16,77:8,7.496983895082263e-17,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,2.434959323377739e-07,77:8,1.622780650629361e-07,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,2.196468349703413e-06,77:8,1.3423054377136756e-06,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,1.1867593666395035e-16,77:8,8.113701966533219e-17,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,2.2346390880163027e-07,77:8,1.492691112653117e-07,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,2.0078421378471095e-06,77:8,1.2398591639804431e-06,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,1.1591212605970242e-16,77:8,7.496983895082263e-17,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,2.434959323377739e-07,77:8,1.622780650629361e-07,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,2.196468349703413e-06,77:8,1.3423054377136756e-06,True,3.0,14.0,16.0,heldout,0.0,False
Shor,1.0,1.0,1.1867593666395035e-16,77:8,8.113701966533219e-17,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,2.2346390880163027e-07,77:8,1.492691112653117e-07,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,2.0078421378471095e-06,77:8,1.2398591639804431e-06,True,3.0,14.0,16.0,heldout,0.0,False
Shor,1.0,1.0,6.166937676719638e-08,91:9,4.4252170888124513e-08,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,4.963583889770108e-07,91:9,3.356067885075518e-07,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,2.9122980540966685e-06,91:9,1.844637486586498e-06,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,5.6834184751936244e-08,91:9,4.060684518186256e-08,True,1.0,14.0,4.0,heldout,0.0,True
Shor,1.0,3.0,4.57277115756901e-07,91:9,3.077363760405925e-07,True,2.0,14.0,4.0,heldout,0.0,True
Shor,1.0,6.0,2.6638285906854186e-06,91:9,1.6889638161493985e-06,True,3.0,14.0,4.0,heldout,0.0,False
Shor,1.0,1.0,6.166937676719638e-08,91:9,4.4252170888124513e-08,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,4.963583889770108e-07,91:9,3.356067885075518e-07,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,2.9122980540966685e-06,91:9,1.844637486586498e-06,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,5.6834184751936244e-08,91:9,4.060684518186256e-08,True,1.0,14.0,8.0,heldout,0.0,True
Shor,1.0,3.0,4.57277115756901e-07,91:9,3.077363760405925e-07,True,2.0,14.0,8.0,heldout,0.0,True
Shor,1.0,6.0,2.6638285906854186e-06,91:9,1.6889638161493985e-06,True,3.0,14.0,8.0,heldout,0.0,False
Shor,1.0,1.0,6.166937676719638e-08,91:9,4.4252170888124513e-08,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,4.963583889770108e-07,91:9,3.356067885075518e-07,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,2.9122980540966685e-06,91:9,1.844637486586498e-06,True,3.0,14.0,16.0,heldout,0.0,False
Shor,1.0,1.0,5.6834184751936244e-08,91:9,4.060684518186256e-08,True,1.0,14.0,16.0,heldout,0.0,True
Shor,1.0,3.0,4.57277115756901e-07,91:9,3.077363760405925e-07,True,2.0,14.0,16.0,heldout,0.0,False
Shor,1.0,6.0,2.6638285906854186e-06,91:9,1.6889638161493985e-06,True,3.0,14.0,16.0,heldout,0.0,False
Regev,0.0,6.0,0.5396889033053913,55:A_uniform_hard_box:M8,0.2991246164367364,False,2.0,3.0,7.0,heldout,-0.1875,False
Regev,0.0,2.0,0.5163553331887849,55:A_uniform_hard_box:M8,0.0989293039367364,True,1.0,3.0,7.0,heldout,-0.0625,False
Regev,0.0,6.0,0.5576274120213421,55:B_exact_finite_discrete_gaussian:M8,0.2489102844485841,False,2.0,3.0,7.0,heldout,-0.140625,False
Regev,0.0,2.0,0.5063196169526463,55:B_exact_finite_discrete_gaussian:M8,0.0825452366121776,True,1.0,3.0,7.0,heldout,-0.03125,False
Regev,0.0,12.0,0.53215868022841,55:A_uniform_hard_box:M16,0.5512260265753941,False,3.0,4.0,7.0,heldout,-0.421875,False
Regev,0.0,6.0,0.5387154467454609,55:A_uniform_hard_box:M16,0.269797038129302,False,2.0,4.0,7.0,heldout,-0.390625,False
Regev,0.0,2.0,0.5760543260992315,55:A_uniform_hard_box:M16,0.0371420491751697,True,1.0,4.0,7.0,heldout,-0.03125,False
Regev,0.0,12.0,0.526651076690047,55:B_exact_finite_discrete_gaussian:M16,0.3501792145963074,True,3.0,4.0,7.0,heldout,-0.0625,False
Regev,0.0,6.0,0.5129813174975404,55:B_exact_finite_discrete_gaussian:M16,0.1582274513814511,True,2.0,4.0,7.0,heldout,-0.0625,False
Regev,0.0,2.0,0.5201290770271201,55:B_exact_finite_discrete_gaussian:M16,0.0226330821180294,True,1.0,4.0,7.0,heldout,-0.015625,False
Regev,0.0,20.0,0.5166580312709846,55:A_uniform_hard_box:M32,0.6846711717648164,False,4.0,5.0,7.0,heldout,-0.421875,False
Regev,0.0,12.0,0.5198343965219706,55:A_uniform_hard_box:M32,0.4172504874939392,False,3.0,5.0,7.0,heldout,-0.328125,False
Regev,0.0,6.0,0.554724667076316,55:A_uniform_hard_box:M32,0.0987696668463438,False,2.0,5.0,7.0,heldout,-0.203125,False
