algorithm,approximation_level,endpoint,exact_task_success_probability,instance_id,measured_tv,resource_controlled_phase,resource_cx,resource_depth,state_specific_certified,task_difference,task_success_probability,worst_case_certified
Shor,0,order,0.984375,35:11,0.0,0,0,0,True,0.0,0.984375,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,0.984375,35:11,6.253784969424323e-07,1,2,0,True,0.0,0.984375,True
Shor,1,factor,0.0,35:11,6.253784969424323e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,0.984375,35:11,4.7912663381128534e-06,3,6,0,True,0.0,0.984375,False
Shor,2,factor,0.0,35:11,4.7912663381128534e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,0.984375,35:11,2.6622014808018347e-05,6,12,0,True,0.0,0.984375,False
Shor,3,factor,0.0,35:11,2.6622014808018347e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,0.984375,35:11,0.0,0,0,0,True,0.0,0.984375,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,0.984375,35:11,5.760370579414421e-07,1,2,0,True,0.0,0.984375,True
Shor,1,factor,0.0,35:11,5.760370579414421e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,0.984375,35:11,4.411190072121344e-06,3,6,0,True,0.0,0.984375,False
Shor,2,factor,0.0,35:11,4.411190072121344e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,0.984375,35:11,2.448632209605102e-05,6,12,0,True,0.0,0.984375,False
Shor,3,factor,0.0,35:11,2.448632209605102e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,1.0,35:11,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,1.0,35:11,6.253784969424323e-07,1,2,0,True,0.0,1.0,True
Shor,1,factor,0.0,35:11,6.253784969424323e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,1.0,35:11,4.7912663381128534e-06,3,6,0,True,0.0,1.0,False
Shor,2,factor,0.0,35:11,4.7912663381128534e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,1.0,35:11,2.6622014808018347e-05,6,12,0,True,0.0,1.0,False
Shor,3,factor,0.0,35:11,2.6622014808018347e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,1.0,35:11,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,1.0,35:11,5.760370579414421e-07,1,2,0,True,0.0,1.0,True
Shor,1,factor,0.0,35:11,5.760370579414421e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,1.0,35:11,4.411190072121344e-06,3,6,0,True,0.0,1.0,False
Shor,2,factor,0.0,35:11,4.411190072121344e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,1.0,35:11,2.448632209605102e-05,6,12,0,True,0.0,1.0,False
Shor,3,factor,0.0,35:11,2.448632209605102e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,1.0,35:11,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,1.0,35:11,6.253784969424323e-07,1,2,0,True,0.0,1.0,True
Shor,1,factor,0.0,35:11,6.253784969424323e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,1.0,35:11,4.7912663381128534e-06,3,6,0,True,0.0,1.0,False
Shor,2,factor,0.0,35:11,4.7912663381128534e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,1.0,35:11,2.6622014808018347e-05,6,12,0,True,0.0,1.0,False
Shor,3,factor,0.0,35:11,2.6622014808018347e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,1.0,35:11,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,0.0,35:11,0.0,0,0,0,True,0.0,0.0,True
Shor,1,order,1.0,35:11,5.760370579414421e-07,1,2,0,True,0.0,1.0,True
Shor,1,factor,0.0,35:11,5.760370579414421e-07,1,2,0,True,0.0,0.0,True
Shor,2,order,1.0,35:11,4.411190072121344e-06,3,6,0,True,0.0,1.0,False
Shor,2,factor,0.0,35:11,4.411190072121344e-06,3,6,0,True,0.0,0.0,False
Shor,3,order,1.0,35:11,2.448632209605102e-05,6,12,0,True,0.0,1.0,False
Shor,3,factor,0.0,35:11,2.448632209605102e-05,6,12,0,True,0.0,0.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,35:2,2.9907277529671245e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,35:2,2.9907277529671245e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,35:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,35:2,3.1606531500981785e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.68223414551327e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,0,factor,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
Shor,1,order,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,1,factor,1.0,35:2,3.3657754131656076e-17,1,2,0,True,0.0,1.0,True
Shor,2,order,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,2,factor,1.0,35:2,3.412566042567528e-17,3,6,0,True,0.0,1.0,False
Shor,3,order,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,3,factor,1.0,35:2,8.042904418475743e-06,6,12,0,True,0.0,1.0,False
Shor,0,order,1.0,35:2,0.0,0,0,0,True,0.0,1.0,True
