bootstrap_replicates,factor_ci95_high,factor_ci95_low,factor_mean_difference,instance_clusters,noninferior,noninferior_at_0_10,omitted_layers,order_ci95_high,order_ci95_low,order_mean_difference,readout_bitflip_probability,shots,tested_margin
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,4,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,4,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,4,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,4,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,4,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,4,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,4,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,4,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,8,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,8,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,8,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,8,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,8,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,8,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,8,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,8,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,16,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,16,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,16,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,16,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,16,0.02
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,16,0.02
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,16,0.02
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,16,0.02
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,4,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,4,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,4,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,4,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,4,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,4,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,4,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,4,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,8,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,8,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,8,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,8,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,8,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,8,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,8,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,8,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,16,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,16,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,16,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,16,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,16,0.05
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,16,0.05
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,16,0.05
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,16,0.05
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,4,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,4,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,4,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,4,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,4,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,4,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,4,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,4,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,8,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,8,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,8,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,8,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,8,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,8,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,8,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,8,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,16,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,16,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,16,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,16,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,16,0.1
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,16,0.1
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,16,0.1
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,16,0.1
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,4,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,4,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,4,0.15
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,4,0.15
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,4,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,4,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,4,0.15
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,4,0.15
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,8,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,8,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,8,0.15
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,8,0.15
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,8,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,8,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,8,0.15
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.01,8,0.15
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.0,16,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.0,16,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.0,16,0.15
5000,0.0,0.0,0.0,8,True,True,3,0.0,0.0,0.0,0.0,16,0.15
5000,0.0,0.0,0.0,8,True,True,0,0.0,0.0,0.0,0.01,16,0.15
5000,0.0,0.0,0.0,8,True,True,1,0.0,0.0,0.0,0.01,16,0.15
5000,0.0,0.0,0.0,8,True,True,2,0.0,0.0,0.0,0.01,16,0.15
