N,base,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,instance_id,mean_runtime_seconds,omitted_layers,order_ci95_high,order_ci95_low,order_probability,readout_bitflip_probability,replicates,shots
35,11,11,0.056626022971156334,0.0,0.0,35:11,3.9359940274152905e-05,0,0.9972365292495986,0.9166570109970937,0.984375,0.0,64,4
35,11,10,0.056626022971156334,0.0,0.0,35:11,4.120447192690335e-05,1,0.9972365292495986,0.9166570109970937,0.984375,0.0,64,4
35,11,9,0.056626022971156334,0.0,0.0,35:11,3.764785833482165e-05,2,0.9972365292495986,0.9166570109970937,0.984375,0.0,64,4
35,11,8,0.056626022971156334,0.0,0.0,35:11,4.025194539281074e-05,3,0.9972365292495986,0.9166570109970937,0.984375,0.0,64,4
35,11,11,0.056626022971156334,0.0,0.0,35:11,4.153777445026208e-05,0,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
35,11,10,0.056626022971156334,0.0,0.0,35:11,4.2479807234485634e-05,1,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
35,11,9,0.056626022971156334,0.0,0.0,35:11,4.180407449894119e-05,2,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
35,11,8,0.056626022971156334,0.0,0.0,35:11,4.127212014282122e-05,3,0.9972365292495986,0.9166570109970937,0.984375,0.01,64,4
35,11,11,0.056626022971156334,0.0,0.0,35:11,4.5783213863614947e-05,0,1.0,0.9433739770288436,1.0,0.0,64,8
35,11,10,0.056626022971156334,0.0,0.0,35:11,4.712236113846302e-05,1,1.0,0.9433739770288436,1.0,0.0,64,8
35,11,9,0.056626022971156334,0.0,0.0,35:11,4.745773367176298e-05,2,1.0,0.9433739770288436,1.0,0.0,64,8
35,11,8,0.056626022971156334,0.0,0.0,35:11,4.475980131246615e-05,3,1.0,0.9433739770288436,1.0,0.0,64,8
35,11,11,0.056626022971156334,0.0,0.0,35:11,4.5402965042740107e-05,0,1.0,0.9433739770288436,1.0,0.01,64,8
35,11,10,0.056626022971156334,0.0,0.0,35:11,4.4441994759836234e-05,1,1.0,0.9433739770288436,1.0,0.01,64,8
35,11,9,0.056626022971156334,0.0,0.0,35:11,4.4949214498046786e-05,2,1.0,0.9433739770288436,1.0,0.01,64,8
35,11,8,0.056626022971156334,0.0,0.0,35:11,4.887819159193896e-05,3,1.0,0.9433739770288436,1.0,0.01,64,8
35,11,11,0.056626022971156334,0.0,0.0,35:11,6.311063953035045e-05,0,1.0,0.9433739770288436,1.0,0.0,64,16
35,11,10,0.056626022971156334,0.0,0.0,35:11,6.126435437181499e-05,1,1.0,0.9433739770288436,1.0,0.0,64,16
35,11,9,0.056626022971156334,0.0,0.0,35:11,6.196430513227824e-05,2,1.0,0.9433739770288436,1.0,0.0,64,16
35,11,8,0.056626022971156334,0.0,0.0,35:11,6.244663927645888e-05,3,1.0,0.9433739770288436,1.0,0.0,64,16
35,11,11,0.056626022971156334,0.0,0.0,35:11,5.9754565882030874e-05,0,1.0,0.9433739770288436,1.0,0.01,64,16
35,11,10,0.056626022971156334,0.0,0.0,35:11,6.007295633025933e-05,1,1.0,0.9433739770288436,1.0,0.01,64,16
35,11,9,0.056626022971156334,0.0,0.0,35:11,7.207291491795331e-05,2,1.0,0.9433739770288436,1.0,0.01,64,16
35,11,8,0.056626022971156334,0.0,0.0,35:11,6.074736302252859e-05,3,1.0,0.9433739770288436,1.0,0.01,64,16
35,2,11,1.0,0.9433739770288436,1.0,35:2,7.33827273506904e-05,0,1.0,0.9433739770288436,1.0,0.0,64,4
35,2,10,1.0,0.9433739770288436,1.0,35:2,4.485610770643689e-05,1,1.0,0.9433739770288436,1.0,0.0,64,4
35,2,9,1.0,0.9433739770288436,1.0,35:2,4.691079993790481e-05,2,1.0,0.9433739770288436,1.0,0.0,64,4
35,2,8,1.0,0.9433739770288436,1.0,35:2,4.6305318392114714e-05,3,1.0,0.9433739770288436,1.0,0.0,64,4
35,2,11,1.0,0.9433739770288436,1.0,35:2,4.7052079025888816e-05,0,1.0,0.9433739770288436,1.0,0.01,64,4
35,2,10,1.0,0.9433739770288436,1.0,35:2,4.678647019318305e-05,1,1.0,0.9433739770288436,1.0,0.01,64,4
35,2,9,1.0,0.9433739770288436,1.0,35:2,4.4053374949726276e-05,2,1.0,0.9433739770288436,1.0,0.01,64,4
