N,base,cutoff,factor_pair,factor_success,factors_used_only_posthoc,failure_counts,instance_id,omitted_layers,order_success,readout_bitflip_probability,replicate,runtime_seconds,seed,shots
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,0,0.0017059579258784652,2026071201,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,1,7.408298552036285e-05,2026071202,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,2,6.491702515631914e-05,2026071203,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,3,5.9249927289783955e-05,2026071204,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,4,5.5916025303304195e-05,2026071205,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,0,True,0.0,5,5.141599103808403e-05,2026071206,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,6,5.141703877598047e-05,2026071207,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,7,4.9875001423060894e-05,2026071208,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,8,5.058303941041231e-05,2026071209,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 2}",35:2,0,True,0.0,9,4.583306144922972e-05,2026071210,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,0,True,0.0,10,4.6749948523938656e-05,2026071211,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,11,5.091703496873379e-05,2026071212,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,12,4.850002005696297e-05,2026071213,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,13,4.850002005696297e-05,2026071214,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,14,4.499999340623617e-05,2026071215,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,15,4.395795986056328e-05,2026071216,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,16,4.254095256328583e-05,2026071217,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,17,4.749989602714777e-05,2026071218,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,18,4.2750034481287e-05,2026071219,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,19,4.291697405278683e-05,2026071220,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,20,4.5042019337415695e-05,2026071221,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,21,4.3209060095250607e-05,2026071222,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,22,4.324992187321186e-05,2026071223,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,23,4.5749940909445286e-05,2026071224,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,24,5.320901982486248e-05,2026071225,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,25,4.8832967877388e-05,2026071226,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,0,True,0.0,26,4.483305383473635e-05,2026071227,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,27,4.5082997530698776e-05,2026071228,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,28,4.2625004425644875e-05,2026071229,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,29,4.424992948770523e-05,2026071230,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,30,4.2583909817039967e-05,2026071231,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,31,4.4332933612167835e-05,2026071232,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,0,True,0.0,32,4.012498538941145e-05,2026071233,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,33,4.416599404066801e-05,2026071234,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1, ""zero_phase"": 1}",35:2,0,True,0.0,34,3.9624981582164764e-05,2026071235,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,35,4.7749956138432026e-05,2026071236,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 2}",35:2,0,True,0.0,36,4.704098682850599e-05,2026071237,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,37,4.683295264840126e-05,2026071238,4
35,2,11,"[5, 7]",True,True,"{""no_verified_order"": 1}",35:2,0,True,0.0,38,4.6874978579580784e-05,2026071239,4
35,2,11,"[5, 7]",True,True,"{""zero_phase"": 1}",35:2,0,True,0.0,39,4.558300133794546e-05,2026071240,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,40,4.9332971684634686e-05,2026071241,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,41,4.6291970647871494e-05,2026071242,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,42,4.187505692243576e-05,2026071243,4
35,2,11,"[5, 7]",True,True,{},35:2,0,True,0.0,43,4.8832967877388e-05,2026071244,4
